sku,vendor,ptype,price,lb_loja,lb_fornecedor,usd_lb,teto_lb,handle,variant_id,product_id
BOSC-BMS500-AAS012-1CSXHD,Bosch,Outdoor Units (Compressor/Condenser),2288.16,7.0,,326.9,77.11,1-ton-ductless-mini-split-single-zone-outdoor-heat-pump-max-performance-r454b-12-000-btu-r454b-208-230v,44350354686055,7715252306023
JOMA-600-211,Jomar,Flanged Ball Valves,2287.39,1.8,,1270.8,77.09,4-flanged-full-port-2-piece-flanged-connection-class-150-carbon-steel-stainless-steel-ball-and-stem,44350835130471,7715488956519
RZNR-UDXC-100,Reznor,Unit Heaters,2245.8,2.19,,1025.5,75.68,105-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339135079,7715752149095
COPT-150-LS,Mueller Streamline,Type L Soft,2232.6,68.4,,32.6,75.24,1-1-2-x-60-copper-tube-l-soft,44351115722855,7715646013543
RZNR-UWS-44/62,Reznor,Hydronic Unit Heaters,2224.05,2.19,,1015.5,74.95,62-000-btu-uws-hot-water-suspended-unit-heater,44351339429991,7715752444007
DURA-611000001501300,Duravit,Toilet Seats,2179.12,5.0,,435.8,73.44,duravit-sensowash-slim-elongated-bidet-toilet-seat-in-white-with-remote-concealed-connections,44350684954727,7715403792487
GVLF-485-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,2163.06,0.34,,6361.9,72.9,2-union-316-stainless-steel-press,44353404895335,7716760158311
MILW-3154-20,Milwaukee Tools,Camera System,2141.12,0.73,,2933.0,72.16,m12-75-drain-camera-w-packout-compatibility,44350916264039,7715537322087
COPT-100-LS/100,Mueller Streamline,Type L Soft,2129.0,65.5,,32.5,71.75,1-x-100-copper-tube-l-soft,44351114018919,7715645325415
BOSC-BMS500-AAS009-1CSXHD,Bosch,Outdoor Units (Compressor/Condenser),2126.85,7.0,,303.8,71.67,3-4-ton-ductless-mini-split-single-zone-outdoor-heat-pump-max-performance-r454b-9-000-btu-r454b-208-230v,44350354554983,7715252174951
DURA-0454120024,Duravit,Wall-Mount Sinks,2110.88,1.0,,2110.9,71.14,duravit-vero-47-1-4-rectangular-wall-mounted-sink-in-white-with-two-sets-of-single-faucet-holes-and-with-overflow,44350672666727,7715400974439
TEKM-654,tekmar Control Systems,Snow Melt Controls,2106.0,2.19,,961.6,70.97,tekmar-snow-melt-control-654,44353385168999,7716740595815
GVLF-AE7721-3-200,Gruvlok,Gruvlok Fittings,2081.53,2.0,,1040.8,70.15,2-grvd-bfv-e-grade-disc-epoxy-coated,44350753439847,7715451732071
WILK-2-600XL,Zurn Wilkins,Pressure Reducing Valves,2080.51,21.0,,99.1,70.11,2-600xl-pressure-reducing-valve,44353501724775,7716847616103
GROH-23.792001,Grohe,Tub-Shower Trim Sets,2075.37,1.0,,2075.4,69.94,single-handle-freestanding-tub-faucet-with-1-75-gpm-hand-shower-in-grohe-chrome-groh-23-792001,44350722015335,7715429417063
ELKA-EHS-18-KVX,Elkay,Hand Sinks,2073.35,22.0,,94.2,69.87,elkay-stainless-steel-18-x-14-1-2-x-11-18-gauge-hand-sink-with-knee-valve-and-faucet,44350690394215,7715408937063
SANI-053,SANIFLO,Sewage Pumps,2062.51,61.0,,33.8,69.51,the-sanipit-24-gr-is-the-ideal-retrofit-1hp-grinder-pump-easily-upgrade-your-sewage-ejector-pump,44351364202599,7715766009959
COPT-125-KS,Mueller Streamline,Type K Soft,2037.6,62.4,,32.7,68.67,1-1-4-x-60-copper-tube-k-soft,44351114608743,7715645554791
COPT-075-KS/100,Mueller Streamline,Type K Soft,1993.0,64.1,,31.1,67.16,3-4-x-100-copper-tube-k-soft,44351113625703,7715644932199
COPF-600.200-TEE-C,Mueller Streamline,Copper Sweat Fittings,1991.7,0.39,,5106.9,67.12,6-x-6-x-2-copper-sweat-fittings-tee-c-x-c-x-c,44351106351207,7715641491559
NORT-NSCWHC,NorthStar,Water Softeners,1988.65,1.94,,1025.1,67.02,2-in-1-softener-whole-home-filteration-with-wifi-31-000gr-point-of-entry-cabinet-model,44351199805543,7715671900263
RZNR-UDXC-75,Reznor,Unit Heaters,1963.14,2.19,,896.4,66.16,75-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339298919,7715752312935
MILW-3697-27,Milwaukee Tools,Combo Kits (M18),1939.21,0.73,,2656.5,65.35,m18-fuel-7-tool-combo-kit,44350916788327,7715537846375
BOSC-BMS500-AAU018-1AHCXD,Bosch,Wall Mount Head Units,1881.07,2.0,,940.5,63.39,1-1-2-ton-ductless-mini-split-indoor-universal-cassette-unit-18-000-btu-r454b-208-230v,44350355439719,7715252600935
GVLF-7012-400-E-GALV,Gruvlok,Gruvlok Fittings,1871.57,0.52,,3599.2,63.07,4-flange-galvanized-epdm-green,44350737809511,7715442655335
ELKA-LFGR33221,Elkay,Drop-In Sinks,1869.15,1.0,,1869.2,62.99,elkay-lustertone-classic-stainless-steel-33-x-22-x-10-1-hole-60-40-double-bowl-drop-in-sink,44350690787431,7715409330279
MLWV-2885-M-400,Milwaukee Valve,Gate Valves,1861.05,1.44,,1292.4,62.72,4-flange-x-flange-cast-iron-gate-valve-125-swp-200-wog-os-y-stem-bronze-seat-solid-wedge-disc,44350949458023,7715563044967
NAVA-NRDDF,NAVAC,Refrigeration Tools,1859.64,5.5,,338.1,62.67,recovery-unit-for-flammable-refrigerants,44351182602343,7715666985063
RZNR-UDXC-60,Reznor,Unit Heaters,1856.25,2.19,,847.6,62.56,60-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339266151,7715752280167
BOSC-BMS500-AAU036-1AHWXD,Bosch,Wall Mount Head Units,1849.23,2.0,,924.6,62.32,3-ton-ductless-mini-split-indoor-wall-mounted-unit-36-000-btu-r454b-208-230v,44350355996775,7715252764775
GVLF-469-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1812.87,0.34,,5332.0,61.09,2-ball-valve-316-stainless-steel-press,44353401880679,7716757209191
GVLF-A7064SS-250.200-TEE-1004,Gruvlok,Gruvlok Fittings,1778.95,0.52,,3421.1,59.95,2-1-2-x-2-tee-304-stainless-steel-gr-x-gr-x-mpt,44350752489575,7715450880103
HLNK-20345,HeatLink,Non-Barrier Tubing,1776.68,13.14,,135.2,59.87,heatlink-1-1-2-x-300-black-print-on-white-purelink-plus-uv-stabilized-pex-a-tubing,44350774771815,7715460972647
RZNR-UDXC-45,Reznor,Unit Heaters,1763.84,2.19,,805.4,59.44,45-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339233383,7715752247399
MILW-49-16-2652SA,Milwaukee Tools,Press Tools and Kits,1755.75,6.31,,278.2,59.17,1-ips-asp-press-jaw-for-m18-force-logic-long-throw-press-tool,44350938218599,7715555278951
BOSC-BMS500-AAU030-1AHWXD,Bosch,Wall Mount Head Units,1748.84,2.0,,874.4,58.94,2-1-2-ton-ductless-mini-split-indoor-wall-mounted-unit-30-000-btu-r454b-208-230v,44350355964007,7715252732007
SLOA-3250315,Sloan,Flush Valve Parts & Accessories,1737.2,3.0,,579.1,58.54,g2-8111-1-6-gr,44351417876583,7715792945255
COPT-125-LS,Mueller Streamline,Type L Soft,1735.8,53.04,,32.7,58.5,1-1-4-x-60-copper-tube-l-soft,44351114707047,7715645653095
DURA-0329100000,Duravit,Wall-Mount Sinks,1735.5,1.0,,1735.5,58.49,duravit-vero-41-3-8-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350672404583,7715400745063
GVLF-A7788SS-300-316,Gruvlok,Gruvlok Fittings,1723.1,0.52,,3313.7,58.07,3-flange-adapter-316-stainless-steel-gr-x-flange,44350753341543,7715451633767
BOSC-BMS500-AAS012-0CSXRD,Bosch,Outdoor Units (Compressor/Condenser),1716.3,7.0,,245.2,57.84,1-ton-ductless-mini-split-single-zone-outdoor-heat-pump-r454b-12-000-btu-r454b-115v,44350354653287,7715252273255
GVLF-485-150-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1710.33,0.34,,5030.4,57.64,1-1-2-union-316-stainless-steel-press,44353404862567,7716760125543
SIOU-837-HSL,Sioux Chief,Carriers & Fixture Supports,1706.93,0.96,,1778.1,57.52,closet-carrier-horizontal-4-no-hub-std,44351401951335,7715786227815
SIOU-837-HSR,Sioux Chief,Carriers & Fixture Supports,1706.93,0.96,,1778.1,57.52,closet-carrier-horizontal-4-no-hub-std-siou-837-hsr,44351402475623,7715786293351
MLWV-2974-M-400,Milwaukee Valve,Check Valves,1699.68,1.33,,1278.0,57.28,4-flange-x-flange-cast-iron-check-valve-125-swp-200-wog-horizontal-swing-bronze-seat-solid-wedge-disc,44350949720167,7715563241575
RZNR-UDXC-30,Reznor,Unit Heaters,1694.99,2.19,,774.0,57.12,30-000-btu-udxc-universal-gas-fired-unit-heater-natural-gas-propane-conversion-kit-available,44351339200615,7715752214631
NAVI-30018664A,Navien,Navien Parts,1689.6,4.0,,422.4,56.94,ncb-ncb-e-series-parts-kit,44351183683687,7715667509351
RZNR-UWS-22/31,Reznor,Hydronic Unit Heaters,1685.94,2.19,,769.8,56.82,31-000-btu-uws-hot-water-suspended-unit-heater,44351339397223,7715752411239
ROHL-A3420SLMSTN-2,Rohl,Pull-Out Prep/Bar Faucets,1669.2,5.0,,333.8,56.25,patrizia-pull-down-bar-food-prep-kitchen-faucet-in-satin-nickel,44351361286247,7715764306023
BOSC-BMS500-AAS012-1CSXRD,Bosch,Outdoor Units (Compressor/Condenser),1654.68,7.0,,236.4,55.76,1-ton-ductless-mini-split-single-zone-outdoor-heat-pump-regular-performance-r454b-12-000-btu-r454b-208-230v,44350355210343,7715252371559
MLWV-CL223E-D4,Milwaukee Valve,Butterfly Valves,1646.67,1.8,,914.8,55.49,4-lug-pattern-cast-iron-butterfly-valve-200-psi-epdm-seat-bronze-disc,44350952996967,7715565895783
BOSC-BMS500-AAU024-1AHWXD,Bosch,Wall Mount Head Units,1643.6,2.0,,821.8,55.39,2-ton-ductless-mini-split-indoor-wall-mounted-unit-24-000-btu-r454b-208-230v,44350355931239,7715252699239
WOOD-RHY2-2-MS,"Woodford Manufacturing Company, LLC",Roof Hydrants,1642.39,3.0,,547.5,55.35,model-y1-roof-hydrants-mounting-system,44353497661543,7716843618407
WILK-2-375XLFT,Zurn Wilkins,Backflow Preventers,1636.37,25.43,,64.3,55.15,2-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,44353501692007,7716847583335
WATT-0556008,Watts,Relief Valves,1618.83,2.32,,697.8,54.55,1-lead-free-brass-automatic-reseating-t-and-p-relief-valve-150-psi-210-degree-f-test-lever-5-extension-thermostat,44353488781415,7716835328103
WOOD-HCB67-8,"Woodford Manufacturing Company, LLC",Hot & Cold Box Hydrants,1592.7,3.0,,530.9,53.67,model-h67-hot-cold-box-hydrants-sweat-3-4-connection-wall-depth-8,44353497530471,7716843487335
TACO-ACUF-300-AF-3,Taco Comfort Solutions,Balancing Valves,1589.67,3.0,,529.9,53.57,3-flanged-accu-flo-balancing-valve,44353380778087,7716736270439
COPT-100-KS,Mueller Streamline,Type K Soft,1587.6,50.34,,31.5,53.5,1-x-60-copper-tube-k-soft,44351113887847,7715645194343
TACO-0034E-SF2,Taco Comfort Solutions,Variable Speed Circulators,1585.1,2.19,,723.8,53.42,0034ee-series-vm3450-dd1-rs2w00-stainless-steel-ecm-high-efficiency-variable-speed-flanged-rotated-analog-115-208-230-50-60-hz,44353378091111,7716734140519
DXVF-D28005ARS141.415,DXV,Toilet Seats,1580.4,16.6,,95.2,53.26,at100-electric-elongated-spalet-bidet-seat-in-canvas-white,44350686658663,7715405496423
MPEX-3320800,MrPEX Systems,Manifolds (Radiant Heating),1575.18,0.8,,1969.0,53.08,8-branches-1-1-2-chrome-plated-brass-manifold-assembly-w-flowmeter-and-ball-valve,44351003787367,7715599745127
ELKA-LZWSRK,Elkay,Bottle Fillers & Fountains,1569.49,8.6,,182.5,52.89,elkay-ezh2o-retrofit-bottle-filling-station-kit-for-ez-family-filtered-non-refrigerated,44350692229223,7715410608231
TOTO-SW4736AT40-01,Toto,Toilet Seats,1563.9,9.2,,170.0,52.7,toto-s7a-washlet-electronic-bidet-toilet-seat-with-ewater-bowl-and-wand-cleaning-auto-open-and-close-contemporary-lid-elongated-cotton-white-sw4736at40-01,44353397784679,7716753211495
ROHL-R7520SB,Rohl,Pull-Out Faucets,1561.95,5.0,,312.4,52.64,lux-pull-down-kitchen-faucet-in-brushed-stainless-steel,44351361876071,7715764666471
SLOA-3324468,Sloan,Hands-Free Faucets,1561.26,5.0,,312.3,52.61,basys-sensor-faucet-efx250-500-0000-pvdsf-sensor-faucet-commercial-grade-ada-compliant-electronic-sensor-activated-die-castmetal-hand-washing-faucet-with-the-following-features-single-hole-in-brushed,44351420629095,7715794714727
COPF-300-UNI-C,Mueller Streamline,Copper Sweat Fittings,1544.74,4.75,,325.2,52.06,3-copper-sweat-fittings-union-c-x-c,44351104188519,7715640279143
DURA-2350800027,Duravit,Vessel Sinks,1540.5,1.0,,1540.5,51.91,duravit-vero-31-1-2-rectangular-vessel-sink-in-white-with-single-faucet-hole-and-with-overflow,44350684758119,7715403595879
ROHL-RC1818WH,Shaws,Undermount Sinks,1538.55,17.7,,86.9,51.85,lancaster-18-single-bowl-square-fireclay-bar-food-prep-kitchen-sink-in-white-wh,44351372329063,7715770597479
BOSC-BMS500-AAU012-1AHCXD,Bosch,Wall Mount Head Units,1537.68,2.0,,768.8,51.82,1-ton-ductless-mini-split-indoor-universal-cassette-unit-12-000-btu-r454b-208-230v,44350355374183,7715252535399
NORT-NSC42,NorthStar,Water Softeners,1534.1,1.94,,790.8,51.7,42-000-grain-water-softener-ideal-for-an-sized-households-11-ppm-clear-water-ferrous-iron-reduction,44351199772775,7715671867495
GVLF-A7788SS-250-316,Gruvlok,Gruvlok Fittings,1528.56,0.52,,2939.5,51.51,2-1-2-flange-adapter-316-stainless-steel-gr-x-flange,44350753308775,7715451600999
MLWV-1404-400,Milwaukee Valve,Check Valves,1528.31,1.33,,1149.1,51.5,4-wafer-cast-iron-check-valve-class-125-stainless-steel-seat-stainless-steel-disc,44350948900967,7715562553447
BOSC-BMS500-AAS009-1CSXRD,Bosch,Outdoor Units (Compressor/Condenser),1516.9,7.0,,216.7,51.12,3-4-ton-ductless-mini-split-single-zone-outdoor-heat-pump-regular-performance-r454b-9-000-btu-r454b-208-230v,44350354587751,7715252207719
GRUN-95906632,Grundfos,Hot Water Recirculating Pumps,1511.97,6.0,,252.0,50.95,ups26-150sf-max-head-max-flow-stainless-steel-body-115v,44350731649127,7715437412455
IBCT-P-126,IBC,IBC Parts,1509.53,2.19,,689.3,50.87,fan-replacement-kit-sl-80-399,44350818943079,7715476635751
SANI-018,SANIFLO,Drain & Condensate Pumps,1499.2,20.5,,73.1,50.52,sanicom-1-commercial-gray-water-drain-pump-1hp-hdpe-laundry-sink-shower-bathtub,44351364071527,7715765878887
GVLF-469-150-E-316,Tyler Pipe Company,Press Ball Valves,1481.16,3.0,,493.7,49.92,1-1-2-ball-valve-316-stainless-steel-press,44353401847911,7716757176423
GVLF-474-200.050-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1458.12,0.5,,2916.2,49.14,2x1-2-fitting-reducer-316-stainless-steel-press,44353402732647,7716758061159
PDWV-1000CPL-P,Charlotte Pipe,PVC DWV Fittings,1429.8,0.81,,1765.2,48.18,10-pvc-dwv-coupling-h-x-h,44350437392487,7715311812711
GVLF-478-200-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1429.32,0.34,,4203.9,48.17,2-tee-female-316-stainless-steel-press,44353403781223,7716759109735
TOTO-SW4724AT40-01,Toto,Toilet Seats,1424.28,9.2,,154.8,48.0,toto-s7-washlet-electronic-bidet-toilet-seat-with-ewater-bowl-and-wand-cleaning-and-classic-lid-elongated-cotton-white-sw4724at40-01,44353397719143,7716753145959
TOTO-SW4726AT40-01,Toto,Toilet Seats,1424.28,9.2,,154.8,48.0,toto-s7-washlet-electronic-bidet-toilet-seat-with-ewater-bowl-and-wand-cleaning-and-contemporary-lid-elongated-cotton-white-sw4726at40-01,44353397751911,7716753178727
WILK-112-975XL3,Zurn Wilkins,Backflow Preventers,1414.29,16.0,,88.4,47.66,1-1-2-975xl3-reduced-pressure-principle-backflow-preventer,44353501429863,7716847321191
DURA-0329850000,Duravit,Wall-Mount Sinks,1413.75,1.0,,1413.8,47.64,duravit-vero-33-1-2-rectangular-wall-mounted-sink-in-white-with-single-faucet-hole-and-with-overflow,44350672437351,7715400777831
WATT-88004113,Watts,Backflow Preventers,1410.84,11.1,,127.1,47.55,1-1-4-lead-free-reduced-pressure-zone-backflow-preventer-assembly-with-quarter-turn-shutoff-valves-lever-handles-backflow-flood-sensor,44353489829991,7716836376679
GEBE-111.798.00.1,Geberit,Toilet Repair Parts & Accessories,1408.5,0.63,,2235.7,47.47,geberit-19-3-4-x-47-1-4-to-55-1-6-0-8-gpf-carrier-frame-with-concealed-tank-installation-and-rough-in-material-for-wall-hung-toilet-carrier,44350706483303,7715419947111
BOSC-BMS500-AAU018-1AHWXD,Bosch,Wall Mount Head Units,1399.2,2.0,,699.6,47.15,1-1-2-ton-ductless-mini-split-indoor-wall-mounted-unit-18-000-btu-r454b-208-230v,44350355505255,7715252666471
SLOA-3365308BT,Sloan,Hands-Free Faucets,1387.38,5.0,,277.5,46.75,optima-sensor-faucet-etf80-4-plg-bdm-cp-0-5-gpm-mlm-fct-commercial-grade-ada-compliant-electronic-sensor-activated-brass-hand-washing-faucet-with-the-following-features-single-hole-in-polished-chrome,44351422169191,7715795763303
MPEX-3320700,MrPEX Systems,Manifolds (Radiant Heating),1387.15,0.8,,1733.9,46.75,7-branches-1-1-2-chrome-plated-brass-manifold-assembly-w-flowmeter-and-ball-valve,44351003754599,7715599712359
MOUN-MT1841-NLDK/CHBRZ,Mountain Plumbing Products,Hot & Cold Beverage Faucets,1370.85,5.0,,274.2,46.2,mini-hot-cold-faucet-w-knurled-lever-spout-ti-champagne-bronze,44350996742247,7715593846887
MOUN-MT1841-NLK/CHBRZ,Mountain Plumbing Products,Hot & Cold Beverage Faucets,1370.85,5.0,,274.2,46.2,mini-faucet-with-knurled-lever-spout-tip-champagne-bronze,44350996775015,7715593879655
WILK-112-375XLFT,Zurn Wilkins,Backflow Preventers,1367.54,25.0,,54.7,46.09,1-1-2-375xl-reduced-pressure-principle-backflow-preventer-with-sae-flare-test-fitting,44353501397095,7716847288423
MILW-3697-25,Milwaukee Tools,Combo Kits (M18),1363.35,0.73,,1867.6,45.94,m18-fuel-5-tool-combo-kit,44350916755559,7715537813607
SLOA-3335149,Sloan,Flush Valve Parts & Accessories,1360.56,3.0,,453.5,45.85,eaf-250-bat-ism-gr-0-5gpm-aer-ir-iq-fct,44351421775975,7715795370087
GVLF-473-200.150-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1348.14,0.5,,2696.3,45.43,2x1-1-2-tee-316-stainless-steel-press,44353402503271,7716757831783
HLNK-20335,HeatLink,Non-Barrier Tubing,1346.79,13.14,,102.5,45.39,heatlink-1-1-4-x-300-black-print-on-white-purelink-plus-uv-stabilized-pex-a-tubing,44350774739047,7715460939879
TACO-0026E-SF2,Taco Comfort Solutions,Variable Speed Circulators,1346.1,2.19,,614.7,45.36,0026ee-series-vm2644-dd1-rs2w00-stainless-steel-ecm-high-efficiency-variable-speed-flanged-rotated-analog-115-208-230-50-60-hz,44353377927271,7716733976679
SLOA-3315166BT,Sloan,Hands-Free Faucets,1337.78,5.0,,267.6,45.08,optima-sensor-faucet-ebf750-8-bat-cp-2-2-gpm-lam-s-fct-commercial-grade-ada-compliant-electronic-sensor-activated-brass-gooseneck-hand-washing-faucet-with-the-following-features-single-hole-in-polishe,44351420432487,7715794518119
WATT-0065378,Watts,Backflow Preventers,1331.03,11.1,,119.9,44.86,3-4-lead-free-reduced-pressure-zone-backflow-preventer-assembly-quarter-turn-ball-valves-strainer,44353487601767,7716834672743
SLOA-3365320BT,Sloan,Hands-Free Faucets,1330.56,5.0,,266.1,44.84,optima-sensor-faucet-etf80-4-plg-cp-0-5-gpm-mlm-fct-commercial-grade-ada-compliant-electronic-sensor-activated-brass-hand-washing-faucet-with-the-following-features-single-hole-in-polished-chrome,44351422201959,7715795796071
NAVI-30018659A,Navien,Navien Parts,1329.18,4.0,,332.3,44.79,nr-np-series-parts-kits-cr-cc,44351183618151,7715667443815
MPEX-8110720,MrPEX Systems,Tools (Radiant Heating),1318.29,2.19,,602.0,44.43,heavy-duty-compact-adjustable-tubing-uncoiler,44351043076199,7715607937127
GVLF-473-200.100-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1317.96,0.5,,2635.9,44.42,2x1-tee-316-stainless-steel-press,44353402470503,7716757799015
GVLF-7074T-600-PNTD,Gruvlok,Gruvlok Fittings,1316.93,0.52,,2532.6,44.38,6-cap-painted-gr,44350745215079,7715447799911
WILK-114-975XL3,Zurn Wilkins,Backflow Preventers,1314.93,15.0,,87.7,44.31,1-1-4-975xl3-reduced-pressure-principle-backflow-preventer,44353501528167,7716847419495
ELKA-LRAD-3122-65-3,Elkay,Drop-In Sinks,1311.3,1.0,,1311.3,44.19,elkay-lustertone-classic-stainless-steel-31-x-22-x-6-1-2-3-hole-single-bowl-drop-in-ada-sink,44350691868775,7715410247783
GVLF-478-200.100-E-316,Tyler Pipe Company,Press Fittings - Stainless Steel,1307.89,0.5,,2615.8,44.08,2x1-tee-female-316-stainless-steel-press,44353403879527,7716759208039
