Handle,Command,Body HTML
7-day-programmable-electronic-thermostat-multi-application,UPDATE,"<p>The TL8100A1008 is a line-voltage thermostat from Resideo (Honeywell Home) for electric resistance heat — baseboard, convectors, radiant ceiling or panel heaters.</p><p>Line voltage is the distinction that matters here. A low-voltage thermostat switches a 24 V control circuit and lets a furnace or boiler do the work; a line-voltage thermostat carries the full heater current itself. They are not interchangeable, and a low-voltage stat wired to a baseboard circuit fails immediately.</p><p>The 7-day schedule lets the heat drop back when the room is empty and recover before it is used again. On electric resistance heat, where every watt is billed at full price, setback is the single largest saving available — there is no efficiency to improve, only run time to remove.</p><p>Match the voltage and the pole configuration to the heater circuit, and check the amperage of the heater against the rating of the thermostat. A thermostat sized below the load is the most common cause of a line-voltage stat failing in its first season.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TL8100A1008/U</li><li><strong>Type:</strong> Line-voltage thermostat</li><li><strong>Control:</strong> Programmable 7-day</li><li><strong>UPC:</strong> 085267298278</li><li><strong>Shipping weight:</strong> 0.8 lb</li><li><strong>Category:</strong> Line Voltage Thermostats</li></ul>"
angle-pattern-1-2-in-high-capacity-valve,UPDATE,"<p>The V110E1004 is an angle-pattern thermostatic radiator valve body from Resideo (Honeywell Home), 1/2 inch, rated 4.6 Cv and built to the high-capacity design.</p><p>A thermostatic radiator valve gives one radiator its own temperature control without any wiring. The head senses room air and opens or closes the valve underneath it, so a south-facing room that runs hot stops taking heat while the rest of the loop keeps running.</p><p>Pattern matters more than it sounds. A <strong>angle</strong> body is chosen to suit how the pipe arrives at the radiator: straight where the supply runs in line with the valve, angle where it turns up out of the floor, horizontal angle where it comes through the wall and has to turn in plan rather than in elevation. Fitting the wrong pattern means re-piping, not re-orienting.</p><p>The 4.6 Cv rating is what sizes the valve to the radiator. Too small and the radiator starves at design temperature; too large and the head loses authority, hunting between too hot and too cold instead of holding a setting.</p><p><strong>What a working TRV takes:</strong> a valve body and a thermostatic head, ordered separately. This listing is the body.</p><p><strong>Thermostatic heads for this valve body</strong></p><ul><li><a href=""/products/thermostat-radiator-actuator-with-remote-sensor-48-79f"">Resideo T100B1035 Thermostat Radiator Actuator With Remote Sensor - 48-79F</a></li><li><a href=""/products/thermostat-radiator-actuator-with-remote-sensor-and-dual-capillary"">Resideo T100C1026 Thermostat Radiator Actuator with Remote Sensor and Dual Capillary</a></li><li><a href=""/products/high-capacity-thermostatic-radiator-actuator"">Resideo T104A1040 High Capacity Thermostatic Radiator Actuator</a></li><li><a href=""/products/high-capacity-thermostatic-radiator-actuator-16-ft"">Resideo T104B1046 High Capacity Thermostatic Radiator Actuator 16 ft</a></li><li><a href=""/products/high-capacity-thermostatic-radiator-actuator-40-mm-diameter"">Resideo T104C1036 High Capacity Thermostatic Radiator Actuator - 40 mm Diameter</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> V110E1004/U</li><li><strong>Pattern:</strong> Angle</li><li><strong>Connection size:</strong> 1/2 in</li><li><strong>Cv:</strong> 4.6</li><li><strong>Series:</strong> High Capacity</li><li><strong>Category:</strong> Thermostatic Radiator Valves</li></ul>"
angle-pattern-1-2-in-vertical-thermostatic-radiator-valve,UPDATE,"<p>The V2040ESL15 is an angle-pattern thermostatic radiator valve body from Resideo (Honeywell Home), 1/2 inch.</p><p>A thermostatic radiator valve gives one radiator its own temperature control without any wiring. The head senses room air and opens or closes the valve underneath it, so a south-facing room that runs hot stops taking heat while the rest of the loop keeps running.</p><p>Pattern matters more than it sounds. A <strong>angle</strong> body is chosen to suit how the pipe arrives at the radiator: straight where the supply runs in line with the valve, angle where it turns up out of the floor, horizontal angle where it comes through the wall and has to turn in plan rather than in elevation. Fitting the wrong pattern means re-piping, not re-orienting.</p><p><strong>What a working TRV takes:</strong> a valve body and a thermostatic head, ordered separately. This listing is the body.</p><p><strong>Thermostatic heads for this valve body</strong></p><ul><li><a href=""/products/thermostatic-head-for-m30x1-5-connection-with-remote-sensor"">Resideo T301920W0 Thermostatic Head for M30x1.5 Connection with Remote Sensor</a></li><li><a href=""/products/thermostatic-head-for-m30x1-5-connection-with-integral-sensor"">Resideo T3019W0NA Thermostatic Head for M30x1.5 Connection with Integral Sensor</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> V2040ESL15</li><li><strong>Pattern:</strong> Angle</li><li><strong>Connection size:</strong> 1/2 in</li><li><strong>Series:</strong> V2040</li><li><strong>UPC:</strong> 4029289040022</li><li><strong>Category:</strong> Thermostatic Radiator Valves</li></ul>"
angle-pattern-1-in-high-capacity-valve,UPDATE,"<p>The V110E1020 is an angle-pattern thermostatic radiator valve body from Resideo (Honeywell Home), 1 inch, rated 7.0 Cv and built to the high-capacity design.</p><p>A thermostatic radiator valve gives one radiator its own temperature control without any wiring. The head senses room air and opens or closes the valve underneath it, so a south-facing room that runs hot stops taking heat while the rest of the loop keeps running.</p><p>Pattern matters more than it sounds. A <strong>angle</strong> body is chosen to suit how the pipe arrives at the radiator: straight where the supply runs in line with the valve, angle where it turns up out of the floor, horizontal angle where it comes through the wall and has to turn in plan rather than in elevation. Fitting the wrong pattern means re-piping, not re-orienting.</p><p>The 7.0 Cv rating is what sizes the valve to the radiator. Too small and the radiator starves at design temperature; too large and the head loses authority, hunting between too hot and too cold instead of holding a setting.</p><p><strong>What a working TRV takes:</strong> a valve body and a thermostatic head, ordered separately. This listing is the body.</p><p><strong>Thermostatic heads for this valve body</strong></p><ul><li><a href=""/products/thermostat-radiator-actuator-with-remote-sensor-48-79f"">Resideo T100B1035 Thermostat Radiator Actuator With Remote Sensor - 48-79F</a></li><li><a href=""/products/thermostat-radiator-actuator-with-remote-sensor-and-dual-capillary"">Resideo T100C1026 Thermostat Radiator Actuator with Remote Sensor and Dual Capillary</a></li><li><a href=""/products/high-capacity-thermostatic-radiator-actuator"">Resideo T104A1040 High Capacity Thermostatic Radiator Actuator</a></li><li><a href=""/products/high-capacity-thermostatic-radiator-actuator-16-ft"">Resideo T104B1046 High Capacity Thermostatic Radiator Actuator 16 ft</a></li><li><a href=""/products/high-capacity-thermostatic-radiator-actuator-40-mm-diameter"">Resideo T104C1036 High Capacity Thermostatic Radiator Actuator - 40 mm Diameter</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> V110E1020/U</li><li><strong>Pattern:</strong> Angle</li><li><strong>Connection size:</strong> 1 in</li><li><strong>Cv:</strong> 7.0</li><li><strong>Series:</strong> High Capacity</li><li><strong>Category:</strong> Thermostatic Radiator Valves</li></ul>"
angle-pattern-3-4-in-vertical-thermostatic-radiator-valve,UPDATE,"<p>The V2040ESL20 is an angle-pattern thermostatic radiator valve body from Resideo (Honeywell Home), 3/4 inch.</p><p>A thermostatic radiator valve gives one radiator its own temperature control without any wiring. The head senses room air and opens or closes the valve underneath it, so a south-facing room that runs hot stops taking heat while the rest of the loop keeps running.</p><p>Pattern matters more than it sounds. A <strong>angle</strong> body is chosen to suit how the pipe arrives at the radiator: straight where the supply runs in line with the valve, angle where it turns up out of the floor, horizontal angle where it comes through the wall and has to turn in plan rather than in elevation. Fitting the wrong pattern means re-piping, not re-orienting.</p><p><strong>What a working TRV takes:</strong> a valve body and a thermostatic head, ordered separately. This listing is the body.</p><p><strong>Thermostatic heads for this valve body</strong></p><ul><li><a href=""/products/thermostatic-head-for-m30x1-5-connection-with-remote-sensor"">Resideo T301920W0 Thermostatic Head for M30x1.5 Connection with Remote Sensor</a></li><li><a href=""/products/thermostatic-head-for-m30x1-5-connection-with-integral-sensor"">Resideo T3019W0NA Thermostatic Head for M30x1.5 Connection with Integral Sensor</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> V2040ESL20</li><li><strong>Pattern:</strong> Angle</li><li><strong>Connection size:</strong> 3/4 in</li><li><strong>Series:</strong> V2040</li><li><strong>UPC:</strong> 4029289040039</li><li><strong>Category:</strong> Thermostatic Radiator Valves</li></ul>"
brush-gold-baseboard-electric-heat-thermostat,UPDATE,"<p>The T498B1512 is a line-voltage thermostat from Resideo (Honeywell Home) for electric resistance heat — baseboard, convectors, radiant ceiling or panel heaters.</p><p>Line voltage is the distinction that matters here. A low-voltage thermostat switches a 24 V control circuit and lets a furnace or boiler do the work; a line-voltage thermostat carries the full heater current itself. They are not interchangeable, and a low-voltage stat wired to a baseboard circuit fails immediately.</p><p>Match the voltage and the pole configuration to the heater circuit, and check the amperage of the heater against the rating of the thermostat. A thermostat sized below the load is the most common cause of a line-voltage stat failing in its first season.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T498B1512/U</li><li><strong>Type:</strong> Line-voltage thermostat</li><li><strong>Shipping weight:</strong> 0.5 lb</li><li><strong>Category:</strong> Line Voltage Thermostats</li></ul>"
brush-gold-electric-heat-thermostat-for-electric-baseboard-heat,UPDATE,"<p>The T498A1810 is a line-voltage thermostat from Resideo (Honeywell Home) for electric resistance heat — baseboard, convectors, radiant ceiling or panel heaters.</p><p>Line voltage is the distinction that matters here. A low-voltage thermostat switches a 24 V control circuit and lets a furnace or boiler do the work; a line-voltage thermostat carries the full heater current itself. They are not interchangeable, and a low-voltage stat wired to a baseboard circuit fails immediately.</p><p>This model is built for <strong>vertical mount</strong> on the baseboard heater itself rather than on the wall.</p><p>Match the voltage and the pole configuration to the heater circuit, and check the amperage of the heater against the rating of the thermostat. A thermostat sized below the load is the most common cause of a line-voltage stat failing in its first season.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T498A1810/U</li><li><strong>Type:</strong> Line-voltage thermostat</li><li><strong>Mounting:</strong> Vertical mount</li><li><strong>Shipping weight:</strong> 1.0 lb</li><li><strong>Category:</strong> Line Voltage Thermostats</li></ul>"
double-pole-line-voltage-programmable-thermostat,UPDATE,"<p>The TL8230A1003 is a line-voltage thermostat from Resideo (Honeywell Home) for electric resistance heat — baseboard, convectors, radiant ceiling or panel heaters.</p><p>Line voltage is the distinction that matters here. A low-voltage thermostat switches a 24 V control circuit and lets a furnace or boiler do the work; a line-voltage thermostat carries the full heater current itself. They are not interchangeable, and a low-voltage stat wired to a baseboard circuit fails immediately.</p><p>This is a <strong>double-pole</strong> thermostat: it breaks both legs of the supply, so the heater is fully de-energized when the thermostat is satisfied or turned off. Double-pole is what most jurisdictions require on 240 V baseboard, and it is what makes the heater safe to work on with the thermostat off.</p><p>The programmable schedule lets the heat drop back when the room is empty and recover before it is used again. On electric resistance heat, where every watt is billed at full price, setback is the single largest saving available — there is no efficiency to improve, only run time to remove.</p><p>Match the voltage and the pole configuration to the heater circuit, and check the amperage of the heater against the rating of the thermostat. A thermostat sized below the load is the most common cause of a line-voltage stat failing in its first season.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> TL8230A1003/U</li><li><strong>Type:</strong> Line-voltage thermostat</li><li><strong>Poles:</strong> Double-pole</li><li><strong>Control:</strong> Programmable</li><li><strong>UPC:</strong> 085267262637</li><li><strong>Category:</strong> Line Voltage Thermostats</li></ul>"
electric-heat-thermostat-with-gold-baseboard,UPDATE,"<p>The T498A1778 is a line-voltage thermostat from Resideo (Honeywell Home) for electric resistance heat — baseboard, convectors, radiant ceiling or panel heaters.</p><p>Line voltage is the distinction that matters here. A low-voltage thermostat switches a 24 V control circuit and lets a furnace or boiler do the work; a line-voltage thermostat carries the full heater current itself. They are not interchangeable, and a low-voltage stat wired to a baseboard circuit fails immediately.</p><p>Match the voltage and the pole configuration to the heater circuit, and check the amperage of the heater against the rating of the thermostat. A thermostat sized below the load is the most common cause of a line-voltage stat failing in its first season.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T498A1778/U</li><li><strong>Type:</strong> Line-voltage thermostat</li><li><strong>Shipping weight:</strong> 0.5 lb</li><li><strong>Category:</strong> Line Voltage Thermostats</li></ul>"
high-capacity-thermostatic-radiator-actuator,UPDATE,"<p>The T104A1040 is a thermostatic radiator actuator from Resideo (Honeywell Home). It is the head that sits on the radiator valve and holds the room at the temperature set on the dial, with no power and no wiring.</p><p>The mechanism is a sealed charge that expands as the room warms and pushes the valve closed. Because it is entirely mechanical, it keeps working through a power cut and it never needs a battery — which is why TRVs are still specified on hydronic systems that have every other control electronic.</p><p>The high-capacity design matches the high-capacity valve bodies, which move considerably more water than a standard TRV. On a large cast-iron radiator or a long run of baseboard, standard capacity is the reason a zone never quite catches up on a cold morning.</p><p><strong>What a working TRV takes:</strong> a valve body and a thermostatic head, ordered separately. This listing is the head.</p><p><strong>Valve bodies this head is built for</strong></p><ul><li><a href=""/products/straight-pattern-1-2-in-high-capacity-valve"">Resideo V110D1000/U Straight Pattern 1/2 in High Capacity Valve</a></li><li><a href=""/products/straight-pattern-1-in-high-capacity-valve"">Resideo V110D1016/U Straight Pattern 1 in High Capacity Valve</a></li><li><a href=""/products/angle-pattern-1-2-in-high-capacity-valve"">Resideo V110E1004/U Angle Pattern 1/2 in High Capacity Valve</a></li><li><a href=""/products/angle-pattern-1-in-high-capacity-valve"">Resideo V110E1020/U Angle Pattern 1 in High-Capacity Valve</a></li><li><a href=""/products/horizontal-angle-pattern-1-2-in-high-capacity-valve"">Resideo V110F1002/U Horizontal Angle Pattern 1/2 in High Capacity Valve</a></li></ul><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> T104A1040</li><li><strong>Type:</strong> Thermostatic radiator actuator</li><li><strong>Sensor:</strong> Integral</li><li><strong>Capacity:</strong> High capacity</li><li><strong>Shipping weight:</strong> 0.41 lb</li><li><strong>Category:</strong> Thermostatic Radiator Controls</li></ul>"
