Handle,Command,Body HTML
replacement-cell-assembly-400-1000-ohm-sensitivity,UPDATE,"<p>The 130367 is a replacement cadmium sulfide cell assembly from Resideo (Honeywell Home), 400–1000 ohm sensitivity.</p><p>The cad cell is the eye of an oil burner. It looks at the flame and its resistance drops when it sees light; the primary control reads that resistance and decides whether there is a fire. A cell that has hazed over, sooted or aged reads high, the primary decides there is no flame, and the burner locks out on a system that is actually lighting perfectly.</p><p>That is why the cell is the first thing to change on nuisance lockouts. It is the cheapest part in the sequence and the one that drifts.</p><p>Goes with: <a href=""/products/cadmium-sulfide-flame-detector-with-60-in-leads-type-r-bracket-and-higher-sensitivity-cad-cell"">C554A1463</a>, <a href=""/products/cadmium-sulfide-flame-detector-with-60-in-leads-type-r-mounting-bracket-and-130367-cad-cell"">C554A1794</a>.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 130367/U</li><li><strong>Type:</strong> Replacement cad cell assembly</li><li><strong>Sensitivity:</strong> 400–1000 ohm</li><li><strong>UPC:</strong> 085267006989</li><li><strong>Category:</strong> Oil Burner Controls</li></ul>"
replacement-keys-set-of-2-for-tg509-tg510-tg511-and-tg512,UPDATE,"<p>The 191990A is a set of two replacement keys from Resideo (Honeywell Home), for TG509, TG510, TG511 and TG512 thermostat guards.</p><p>A locked guard with no key is a thermostat nobody can adjust, including the person who is supposed to. These are the spares that stop that becoming a service call with a screwdriver.</p><p>Fits the whole TG5 series, so one part number covers the guards already in the building.</p><p>Goes with: <a href=""/products/medium-universal-thermostat-guard-cover-clear"">TG511A1000</a>, <a href=""/products/medium-universal-thermostat-guard-cover-beige"">TG511D1004</a>.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 191990A/U</li><li><strong>Type:</strong> Replacement keys (set of 2)</li><li><strong>Fits:</strong> TG509, TG510, TG511, TG512</li><li><strong>UPC:</strong> 085267015196</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
cover-plate-7-7-8-x-5-1-2-in-premier-white,UPDATE,"<p>The 32003796-001 is a thermostat cover plate from Resideo (Honeywell Home), 7-7/8 x 5-1/2 in.</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 32003796-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>Size:</strong> 7-7/8 x 5-1/2 in</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
adaptor-plate-and-ball-assembly,UPDATE,"<p>The 40003918-007 is an adaptor plate and ball assembly from Resideo (Honeywell Home).</p><p>A service part rather than a whole assembly. The ball and the plate it seats on are the wearing surfaces; replacing them restores the action without changing what is connected to the pipe.</p><p>That is the whole argument for stocking it. Swapping the wearing parts is a bench job on a fixture that stays where it is; replacing the assembly means breaking connections that were sound.</p><p>Order against the assembly it came out of. Adaptor plates are cut for a specific body, and a ball that is right in every dimension but one does not seal.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 40003918-007/U</li><li><strong>Type:</strong> Adaptor plate and ball assembly</li><li><strong>UPC:</strong> 085267031028</li><li><strong>Category:</strong> Faucet & Tap Parts & Accessories</li></ul>"
decorative-cover-plate-for-t8775-t87k-n,UPDATE,"<p>The 50000066-001 is a thermostat cover plate from Resideo (Honeywell Home).</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 50000066-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>UPC:</strong> 085267251396</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
cover-plate-assembly-for-focuspro-th5110-coverplates-bracket-for-j-boxes-mounting-hardware,UPDATE,"<p>The 50001137-001 is a thermostat cover plate from Resideo (Honeywell Home).</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 50001137-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>UPC:</strong> 085267258364</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
cover-plate-assy-focuspro-and-pro,UPDATE,"<p>The 50002883-001 is a thermostat cover plate from Resideo (Honeywell Home).</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 50002883-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>Shipping weight:</strong> 0.25 lb</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
premier-white-cover-plate-assembly-with-4-3-4-in-x-4-3-4-in-coverplate,UPDATE,"<p>The 50005625-001 is a thermostat cover plate from Resideo (Honeywell Home).</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 50005625-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>UPC:</strong> 085267261265</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
range-stop-assembly-with-range-stops-for-degree-f-and-c,UPDATE,"<p>The 50010944-001 is a range stop assembly from Resideo (Honeywell Home), with stops for both Fahrenheit and Celsius.</p><p>Range stops limit how far the setpoint can travel without locking the thermostat entirely. The occupant keeps a few degrees of adjustment; the building keeps its energy budget. It is the middle ground between a stat anyone can set to 85 and a guard nobody can open.</p><p>The practical case is a building where complaints and energy cost pull in opposite directions — a rental, an office floor, a common area. A locked guard generates calls to the manager; an unlimited stat generates a bill. Stops end both arguments without either.</p><p>Stops for both scales are included, so the same assembly works on a thermostat set to Fahrenheit or Celsius rather than committing the building to one.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 50010944-001/U</li><li><strong>Type:</strong> Range stop assembly</li><li><strong>Scale:</strong> Fahrenheit and Celsius</li><li><strong>UPC:</strong> 085267266949</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
cover-plate-for-pro-th1000-and-pro-th2000-series-5-3-4-x-7-3-8-in-premier-white,UPDATE,"<p>The 50022893-001 is a thermostat cover plate from Resideo (Honeywell Home), 5-3/4 x 7-3/8 in.</p><p>Cover plates exist because the old thermostat was bigger. Replacing a wide mercury stat with a modern one leaves the paint line, the anchor holes and sometimes the whole opening on show, and the plate covers all of it in one piece.</p><p>Match the plate to the <strong>new</strong> thermostat, not to the old hole. Plates are cut for a specific series; one that does not register with the stat’s base leaves a gap on one side.</p><p>Worth measuring before ordering rather than after. The dimension that matters is the painted or papered outline the old stat left, not the thermostat that made it — twenty years of sun around a cover is a bigger rectangle than the cover was.</p><p>The alternative is patching and painting a wall to match a color that has aged. On a rental turnover or a multi-unit retrofit the plate is the cheaper answer by a wide margin, and it is done in the same visit.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> 50022893-001/U</li><li><strong>Type:</strong> Thermostat cover plate</li><li><strong>Size:</strong> 5-3/4 x 7-3/8 in</li><li><strong>Category:</strong> Thermostat Accessories</li></ul>"
