handle,modelo,tipo,title,chars_antes,descricao_anterior
1-pole-24-vac-definite-purpose-contactor,DP2020A5022,Contactors,Resideo DP2020A5022/U 1 pole 24 Vac Definite Purpose Contactor,306,"<p>The 1 pole 24 Vac Definite Purpose Contactor by Resideo is part of our contactors selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DP2020A5022/U</li>
<li>
<strong>UPC:</strong> 085267133494</li>
<li>
<strong>Category:</strong> Contactors</li>
</ul>"
1-pole-24-vac-deluxe-definite-purpose-contactor,DP1040A5005,Contactors,Resideo DP1040A5005/U 1 pole 24 Vac Deluxe Definite Purpose Contactor,313,"<p>The 1 pole 24 Vac Deluxe Definite Purpose Contactor by Resideo is part of our contactors selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DP1040A5005/U</li>
<li>
<strong>UPC:</strong> 085267647120</li>
<li>
<strong>Category:</strong> Contactors</li>
</ul>"
1-pole-24-vac-economy-definite-purpose-contactor,DP1030A1001,Contactors,Resideo DP1030A1001/U 1 pole 24 Vac Economy Definite Purpose Contactor,314,"<p>The 1 pole 24 Vac Economy Definite Purpose Contactor by Resideo is part of our contactors selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DP1030A1001/U</li>
<li>
<strong>UPC:</strong> 085267559539</li>
<li>
<strong>Category:</strong> Contactors</li>
</ul>"
1-pole-24-vac-powerpro-definite-purpose-contactor,DP1025A5006,Contactors,Resideo 1 pole 24 Vac PowerPro Definite Purpose Contactor DP1025A5006/U,315,"<p>The 1 pole 24 Vac PowerPro Definite Purpose Contactor by Resideo is part of our contactors selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DP1025A5006/U</li>
<li>
<strong>UPC:</strong> 085267726726</li>
<li>
<strong>Category:</strong> Contactors</li>
</ul>"
1-pole-24-vac-powerpro-definite-purpose-contactor-hone-dp1030a5014-u,DP1030A5014,Contactors,Resideo 1 pole 24 Vac PowerPro Definite Purpose Contactor DP1030A5014/U,315,"<p>The 1 pole 24 Vac PowerPro Definite Purpose Contactor by Resideo is part of our contactors selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DP1030A5014/U</li>
<li>
<strong>UPC:</strong> 085267674478</li>
<li>
<strong>Category:</strong> Contactors</li>
</ul>"
120-vac-2-pole-economy-definite-purpose-contactor,DP2030B1003,Contactors,Resideo DP2030B1003/U 120 Vac 2 Pole Economy Definite Purpose Contactor,315,"<p>The 120 Vac 2 Pole Economy Definite Purpose Contactor by Resideo is part of our contactors selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DP2030B1003/U</li>
<li>
<strong>UPC:</strong> 085267647755</li>
<li>
<strong>Category:</strong> Contactors</li>
</ul>"
13-in-long-x-10-in-wide-x-1-5-in-deep-anti-microbial-humidifier-pad-for-bypass-humidifiers,HC26P1002,Dehumidifiers & Humidifiers,Resideo HC26P1002/U 13 in long X 10 in wide X 1.5 in deep Anti-Microbial Humidifier Pad For Bypass Humidifiers.,397,"<p>The 13 in long X 10 in wide X 1.5 in deep Anti-Microbial Humidifier Pad For Bypass Humidifiers. by Resideo is part of our dehumidifiers &amp; humidifiers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> HC26P1002/U</li>
<li>
<strong>UPC:</strong> 085267280594</li>
<li>
<strong>Category:</strong> Dehumidifiers &amp; Humidifiers</li>
</ul>"
2-pole-120-vac-powerpro-definite-purpose-contactor,DP2030B5004,Contactors,Resideo DP2030B5004/U 2 pole 120 Vac PowerPro Definite Purpose Contactor,316,"<p>The 2 pole 120 Vac PowerPro Definite Purpose Contactor by Resideo is part of our contactors selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DP2030B5004/U</li>
<li>
<strong>UPC:</strong> 085267468213</li>
<li>
<strong>Category:</strong> Contactors</li>
</ul>"
2-pole-208-240-vac-powerpro-definite-purpose-contactor,DP2030C5003,Contactors,Resideo DP2030C5003/U 2 pole 208/240 Vac PowerPro Definite Purpose Contactor,320,"<p>The 2 pole 208/240 Vac PowerPro Definite Purpose Contactor by Resideo is part of our contactors selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DP2030C5003/U</li>
<li>
<strong>UPC:</strong> 085267507684</li>
<li>
<strong>Category:</strong> Contactors</li>
</ul>"
2-pole-24-vac-economy-definite-purpose-contactor,DP2030A1004,Contactors,Resideo DP2030A1004/U 2 pole 24 Vac Economy Definite Purpose Contactor,314,"<p>The 2 pole 24 Vac Economy Definite Purpose Contactor by Resideo is part of our contactors selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> DP2030A1004/U</li>
<li>
<strong>UPC:</strong> 085267478564</li>
<li>
<strong>Category:</strong> Contactors</li>
</ul>"
