ID,Handle,Image Src,Image Alt Text
7715245654119,clean-f-steel-boiler-combustion-side-cleaner-1-liter,https://cdn.shopify.com/s/files/1/0651/2253/3479/files/AXIM-AXTH-CF9STEEL-1.png?v=1785802803,Clean F-Steel : Boiler Combustion Side Cleaner (1-Liter)
7715251421287,1-1-2-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-max-performance-r454b-24-000-btu-r454b-208-230v,https://cdn.shopify.com/s/files/1/0651/2253/3479/files/BOSC-BMS500-7.png?v=1785802913,"1-1/2 Ton Ductless Mini-Split, Multi-Zone,  Outdoor Heat Pump (Max Performance), R454B, 24,000 BTU, R454B ,208-230v"
7715251486823,1-1-2-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-regular-performance-r454b-18-000-btu-r454b-208-230v,https://cdn.shopify.com/s/files/1/0651/2253/3479/files/BOSC-BMS500-7_878bd5d6-ba55-45de-b510-1120c66d8808.png?v=1785802914,"1-1/2 Ton Ductless Mini-Split, Multi-Zone,  Outdoor Heat Pump (Regular Performance), R454B, 18,000 BTU, R454B ,208-230v"
7715251748967,2-1-2-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-max-performance-r454b-30-000-btu-r454b-208-230v,https://cdn.shopify.com/s/files/1/0651/2253/3479/files/BOSC-BMS500-7_0f08f953-d8b6-404e-adc8-44a32f9146c9.png?v=1785802915,"2-1/2 Ton Ductless Mini-Split, Multi-Zone,  Outdoor Heat Pump (Max Performance), R454B, 30,000 BTU, R454B ,208-230v"
7715251847271,2-1-2-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-regular-performance-r454b-30-000-btu-r454b-208-230v,https://cdn.shopify.com/s/files/1/0651/2253/3479/files/BOSC-BMS500-7_b5cfcde6-48ad-483e-adc9-250fdca94368.png?v=1785802916,"2-1/2 Ton Ductless Mini-Split, Multi-Zone,  Outdoor Heat Pump (Regular Performance), R454B, 30,000 BTU, R454B ,208-230v"
7715251945575,3-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-max-performance-r454b-36-000-btu-r454b-208-230v,https://cdn.shopify.com/s/files/1/0651/2253/3479/files/BOSC-BMS500-7_f1db0c5f-394a-417f-8634-3b41aa375938.png?v=1785802917,"3 Ton Ductless Mini-Split, Multi-Zone,  Outdoor Heat Pump (Max Performance), R454B, 36,000 BTU, R454B ,208-230v"
7715252076647,3-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-regular-performance-r454b-36-000-btu-r454b-208-230v,https://cdn.shopify.com/s/files/1/0651/2253/3479/files/BOSC-BMS500-7_29421c88-0d80-464b-8a27-56b35969ca40.png?v=1785802918,"3 Ton Ductless Mini-Split, Multi-Zone,  Outdoor Heat Pump (Regular Performance), R454B, 36,000 BTU, R454B ,208-230v"
7715252109415,4-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-max-performance-r454b-48-000-btu-r454b-208-230v,https://cdn.shopify.com/s/files/1/0651/2253/3479/files/BOSC-BMS500-8.png?v=1785802919,"4 Ton Ductless Mini-Split, Multi-Zone,  Outdoor Heat Pump (Max Performance), R454B, 48,000 BTU, R454B ,208-230v"
7715252142183,4-ton-ductless-mini-split-multi-zone-outdoor-heat-pump-regular-performance-r454b-48-000-btu-r454b-208-230v,https://cdn.shopify.com/s/files/1/0651/2253/3479/files/BOSC-BMS500-8_3f2d5a56-5aa5-4b9d-927a-50f63027bee0.png?v=1785802920,"4 Ton Ductless Mini-Split, Multi-Zone,  Outdoor Heat Pump (Regular Performance), R454B, 48,000 BTU, R454B ,208-230v"
7715252174951,3-4-ton-ductless-mini-split-single-zone-outdoor-heat-pump-max-performance-r454b-9-000-btu-r454b-208-230v,https://cdn.shopify.com/s/files/1/0651/2253/3479/files/BOSC-BMS500-7_a2dacc0b-4bfc-4160-ba6e-f11730a86553.png?v=1785802921,"3/4 Ton Ductless Mini-Split, Single Zone,  Outdoor Heat Pump (Max Performance), R454B, 9,000 BTU, R454B ,208-230v"
