Handle,Command,Body HTML
replacement-prefilter-12-5-in-x-16-in-x-11-32-in,UPDATE,"<p>The Replacement Prefilter, 12.5 in x 16 in x 11/32 in by Resideo is part of our air cleaners &amp; filters selection, in stock and ready to ship from The House Supplier.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 203368/U</li>
<li>
<strong>UPC:</strong> 085267259910</li>
<li>
<strong>Category:</strong> Air Cleaners &amp; Filters</li>
<li>
<strong>Availability:</strong> In stock</li>
</ul>"
replacement-prefilter-12-5-in-x-20-in,UPDATE,"<p>The Replacement Prefilter, 12.5 in x 20 in by Resideo is part of our air cleaners &amp; filters selection, in stock and ready to ship from The House Supplier.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 203369/U</li>
<li>
<strong>UPC:</strong> 085267259927</li>
<li>
<strong>Category:</strong> Air Cleaners &amp; Filters</li>
<li>
<strong>Availability:</strong> In stock</li>
</ul>"
replacement-prefilter-10-in-x-20-in,UPDATE,"<p>The Replacement Prefilter, 10 in x 20 in by Resideo is part of our air cleaners &amp; filters selection, in stock and ready to ship from The House Supplier.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 203370/U</li>
<li>
<strong>UPC:</strong> 085267259934</li>
<li>
<strong>Category:</strong> Air Cleaners &amp; Filters</li>
<li>
<strong>Availability:</strong> In stock</li>
</ul>"
replacement-prefilter-12-5-in-x-16-in,UPDATE,"<p>The Replacement Prefilter, 12.5 in x 16 in by Resideo is part of our air cleaners &amp; filters selection, in stock and ready to ship from The House Supplier.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 203371/U</li>
<li>
<strong>UPC:</strong> 085267135108</li>
<li>
<strong>Category:</strong> Air Cleaners &amp; Filters</li>
<li>
<strong>Availability:</strong> In stock</li>
</ul>"
2-pack-replacement-postfilter-16-in-x-10-in,UPDATE,"<p>The 2-Pack Replacement Postfilter 16 in x 10 in by Resideo is part of our air cleaners &amp; filters selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 50000293-001/U</li>
<li>
<strong>UPC:</strong> 085267252881</li>
<li>
<strong>Category:</strong> Air Cleaners &amp; Filters</li>
</ul>"
replacement-postfilter-20-in-x-10-in,UPDATE,"<p>The Replacement Postfilter 20 in x 10 in by Resideo is part of our air cleaners &amp; filters selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 50000293-003/U</li>
<li>
<strong>UPC:</strong> 085267252904</li>
<li>
<strong>Category:</strong> Air Cleaners &amp; Filters</li>
</ul>"
replacement-postfilter-20-in-x-12-5-in,UPDATE,"<p>The Replacement Postfilter 20 in x 12.5 in by Resideo is part of our air cleaners &amp; filters selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 50000293-004/U</li>
<li>
<strong>UPC:</strong> 085267252911</li>
<li>
<strong>Category:</strong> Air Cleaners &amp; Filters</li>
</ul>"
truefresh-ventilation-timer-20-40-60-min,UPDATE,"<p>The TrueFRESH Ventilation Timer 20-40-60 Min by Resideo is part of our ventilation controls &amp; accessories selection, in stock and ready to ship from The House Supplier.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 50053952-020/U</li>
<li>
<strong>Category:</strong> Ventilation Controls &amp; Accessories</li>
<li>
<strong>Availability:</strong> In stock</li>
</ul>"
10-in-round-automatic-damper,UPDATE,"<p>The 10 in Round Automatic Damper by Resideo is part of our zone dampers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> ARD10TZ/U</li>
<li>
<strong>UPC:</strong> 085267461191</li>
<li>
<strong>Category:</strong> Zone Dampers</li>
</ul>"
12-in-round-automatic-damper,UPDATE,"<p>The 12 in Round Automatic Damper by Resideo is part of our zone dampers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> ARD12TZ/U</li>
<li>
<strong>UPC:</strong> 085267171786</li>
<li>
<strong>Category:</strong> Zone Dampers</li>
</ul>"
14-in-round-automatic-damper,UPDATE,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> ARD14TZ/U</li>
<li>
<strong>UPC:</strong> 085267502573</li>
</ul>"
18-in-round-automatic-damper,UPDATE,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> ARD18TZ/U</li>
<li>
<strong>UPC:</strong> 085267707497</li>
</ul>"
5-in-round-automatic-damper,UPDATE,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> ARD5TZ/U</li>
<li>
<strong>UPC:</strong> 085267806039</li>
</ul>"
6-in-round-automatic-damper,UPDATE,"<ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> ARD6TZ/U</li>
<li>
<strong>UPC:</strong> 852679193333</li>
</ul>"
7-in-round-automatic-damper,UPDATE,"<p>The 7 in Round Automatic Damper by Resideo is part of our zone dampers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> ARD7TZ/U</li>
<li>
<strong>UPC:</strong> 085267948067</li>
<li>
<strong>Category:</strong> Zone Dampers</li>
</ul>"
c7089r1013-redlink-outdoor-temperature-and-humidity-sensor,UPDATE,"<p>The C7089R1013 RedLINK® Outdoor Temperature and Humidity Sensor by Resideo is part of our redlink accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> C7089R1013/U</li>
<li>
<strong>UPC:</strong> 085267331845</li>
<li>
<strong>Category:</strong> RedLINK Accessories</li>
</ul>"
redlink-enabled-wireless-indoor-air-sensor,UPDATE,"<p>The RedLINK®-Enabled Wireless Indoor Air Sensor by Resideo is part of our redlink accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> C7189R1004/U</li>
<li>
<strong>UPC:</strong> 085267389693</li>
<li>
<strong>Category:</strong> RedLINK Accessories</li>
</ul>"
return-duct-backup-control-of-non-zoned-redlink-enabled,UPDATE,"<p>The Return Duct: Backup Control of Non-Zoned RedLINK®-Enabled by Resideo is part of our redlink accessories selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> C7735A1000/U</li>
<li>
<strong>UPC:</strong> 085267213417</li>
<li>
<strong>Category:</strong> RedLINK Accessories</li>
</ul>"
10-in-truezone-bypass-damper,UPDATE,"<p>The 10 in TrueZONE Bypass Damper by Resideo is part of our bypass dampers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> CPRD10/U</li>
<li>
<strong>UPC:</strong> 085267992169</li>
<li>
<strong>Category:</strong> Bypass Dampers</li>
</ul>"
6-in-round-fresh-air-damper,UPDATE,"<p>The 6 in Round Fresh Air Damper by Resideo is part of our zone dampers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> EARD6TZ/U</li>
<li>
<strong>UPC:</strong> 085267690423</li>
<li>
<strong>Category:</strong> Zone Dampers</li>
</ul>"
8-in-round-fresh-air-damper,UPDATE,"<p>The 8 in Round Fresh Air Damper by Resideo is part of our zone dampers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> EARD8TZ/U</li>
<li>
<strong>UPC:</strong> 085267728270</li>
<li>
<strong>Category:</strong> Zone Dampers</li>
</ul>"
