ID,Command,Tags,Tags Command
7715203842151,UPDATE,free-ship-eligible,REMOVE
7715285008487,UPDATE,free-ship-eligible,REMOVE
7715285172327,UPDATE,free-ship-eligible,REMOVE
7715285368935,UPDATE,free-ship-eligible,REMOVE
7715285532775,UPDATE,free-ship-eligible,REMOVE
7715285860455,UPDATE,free-ship-eligible,REMOVE
7715286024295,UPDATE,free-ship-eligible,REMOVE
7715286188135,UPDATE,free-ship-eligible,REMOVE
7715286548583,UPDATE,free-ship-eligible,REMOVE
7715286614119,UPDATE,free-ship-eligible,REMOVE
7715286712423,UPDATE,free-ship-eligible,REMOVE
7715286745191,UPDATE,free-ship-eligible,REMOVE
7715286810727,UPDATE,free-ship-eligible,REMOVE
7715286843495,UPDATE,free-ship-eligible,REMOVE
7715286941799,UPDATE,free-ship-eligible,REMOVE
7715286974567,UPDATE,free-ship-eligible,REMOVE
7715287007335,UPDATE,free-ship-eligible,REMOVE
7715287072871,UPDATE,free-ship-eligible,REMOVE
7715287105639,UPDATE,free-ship-eligible,REMOVE
7715287203943,UPDATE,free-ship-eligible,REMOVE
7715287269479,UPDATE,free-ship-eligible,REMOVE
7715287302247,UPDATE,free-ship-eligible,REMOVE
7715287367783,UPDATE,free-ship-eligible,REMOVE
7715287400551,UPDATE,free-ship-eligible,REMOVE
7715287433319,UPDATE,free-ship-eligible,REMOVE
7715287466087,UPDATE,free-ship-eligible,REMOVE
7715288023143,UPDATE,free-ship-eligible,REMOVE
7715288121447,UPDATE,free-ship-eligible,REMOVE
7715288154215,UPDATE,free-ship-eligible,REMOVE
7715288711271,UPDATE,free-ship-eligible,REMOVE
7715289333863,UPDATE,free-ship-eligible,REMOVE
7715289497703,UPDATE,free-ship-eligible,REMOVE
7715289596007,UPDATE,free-ship-eligible,REMOVE
7715289628775,UPDATE,free-ship-eligible,REMOVE
7715289694311,UPDATE,free-ship-eligible,REMOVE
7715289792615,UPDATE,free-ship-eligible,REMOVE
7715289825383,UPDATE,free-ship-eligible,REMOVE
7715289858151,UPDATE,free-ship-eligible,REMOVE
7715289923687,UPDATE,free-ship-eligible,REMOVE
7715289956455,UPDATE,free-ship-eligible,REMOVE
7715290054759,UPDATE,free-ship-eligible,REMOVE
7715290120295,UPDATE,free-ship-eligible,REMOVE
7715290185831,UPDATE,free-ship-eligible,REMOVE
7715290251367,UPDATE,free-ship-eligible,REMOVE
7715290284135,UPDATE,free-ship-eligible,REMOVE
7715290382439,UPDATE,free-ship-eligible,REMOVE
7715290415207,UPDATE,free-ship-eligible,REMOVE
7715290546279,UPDATE,free-ship-eligible,REMOVE
7715290611815,UPDATE,free-ship-eligible,REMOVE
7715290906727,UPDATE,free-ship-eligible,REMOVE
7715291365479,UPDATE,free-ship-eligible,REMOVE
7715291529319,UPDATE,free-ship-eligible,REMOVE
7715291758695,UPDATE,free-ship-eligible,REMOVE
7715292381287,UPDATE,free-ship-eligible,REMOVE
7715292774503,UPDATE,free-ship-eligible,REMOVE
7715292872807,UPDATE,free-ship-eligible,REMOVE
7715292938343,UPDATE,free-ship-eligible,REMOVE
7715293003879,UPDATE,free-ship-eligible,REMOVE
7715293134951,UPDATE,free-ship-eligible,REMOVE
