handle,modelo,tipo,title,chars_antes,descricao_anterior
7-day-programmable-electronic-thermostat-multi-application,TL8100A1008,Line Voltage Thermostats,"Resideo TL8100A1008/U 7-Day Programmable Electronic Thermostat, Multi Application",404,"<p>The 7-Day Programmable Electronic Thermostat, Multi Application by Resideo is part of our line voltage thermostats selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> TL8100A1008/U</li>
<li>
<strong>UPC:</strong> 085267298278</li>
<li>
<strong>Category:</strong> Line Voltage Thermostats</li>
<li>
<strong>Shipping Weight:</strong> 0.8 lb</li>
</ul>"
angle-pattern-1-2-in-high-capacity-valve,V110E1004,Thermostatic Radiator Controls & Valves,Resideo V110E1004/U Angle Pattern 1/2 in High Capacity Valve,325,"<p>The Angle Pattern 1/2 in High Capacity Valve by Resideo is part of our thermostatic radiator controls &amp; valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> V110E1004/U</li>
<li>
<strong>Category:</strong> Thermostatic Radiator Controls &amp; Valves</li>
</ul>"
angle-pattern-1-2-in-vertical-thermostatic-radiator-valve,V2040ESL15,Thermostatic Radiator Controls & Valves,Resideo V2040ESL15 Angle Pattern 1/2 in Vertical Thermostatic Radiator Valve,387,"<p>The Angle Pattern 1/2 in Vertical Thermostatic Radiator Valve by Resideo is part of our thermostatic radiator controls &amp; valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> V2040ESL15</li>
<li>
<strong>UPC:</strong> 4029289040022</li>
<li>
<strong>Category:</strong> Thermostatic Radiator Controls &amp; Valves</li>
</ul>"
angle-pattern-1-in-high-capacity-valve,V110E1020,Thermostatic Radiator Controls & Valves,Resideo V110E1020/U Angle Pattern 1 in High-Capacity Valve,323,"<p>The Angle Pattern 1 in High-Capacity Valve by Resideo is part of our thermostatic radiator controls &amp; valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> V110E1020/U</li>
<li>
<strong>Category:</strong> Thermostatic Radiator Controls &amp; Valves</li>
</ul>"
angle-pattern-3-4-in-vertical-thermostatic-radiator-valve,V2040ESL20,Thermostatic Radiator Controls & Valves,Resideo V2040ESL20 Angle Pattern 3/4 in Vertical Thermostatic Radiator Valve,387,"<p>The Angle Pattern 3/4 in Vertical Thermostatic Radiator Valve by Resideo is part of our thermostatic radiator controls &amp; valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> V2040ESL20</li>
<li>
<strong>UPC:</strong> 4029289040039</li>
<li>
<strong>Category:</strong> Thermostatic Radiator Controls &amp; Valves</li>
</ul>"
brush-gold-baseboard-electric-heat-thermostat,T498B1512,Line Voltage Thermostats,Resideo T498B1512/U Brush Gold Baseboard Electric Heat Thermostat,343,"<p>The Brush Gold Baseboard Electric Heat Thermostat by Resideo is part of our line voltage thermostats selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> T498B1512/U</li>
<li>
<strong>Category:</strong> Line Voltage Thermostats</li>
<li>
<strong>Shipping Weight:</strong> 0.5 lb</li>
</ul>"
brush-gold-electric-heat-thermostat-for-electric-baseboard-heat,T498A1810,Line Voltage Thermostats,Resideo T498A1810/U Brush Gold Electric Heat Thermostat for Electric Baseboard Heat,359,"<p>The Brush Gold Electric Heat Thermostat for Electric Baseboard Heat by Resideo is part of our line voltage thermostats selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> T498A1810/U</li>
<li>
<strong>Category:</strong> Line Voltage Thermostats</li>
<li>
<strong>Shipping Weight:</strong> 1 lb</li>
</ul>"
double-pole-line-voltage-programmable-thermostat,TL8230A1003,Line Voltage Thermostats,Resideo TL8230A1003/U Double-Pole Line-Voltage Programmable Thermostat,342,"<p>The Double-Pole Line-Voltage Programmable Thermostat by Resideo is part of our line voltage thermostats selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> TL8230A1003/U</li>
<li>
<strong>UPC:</strong> 085267262637</li>
<li>
<strong>Category:</strong> Line Voltage Thermostats</li>
</ul>"
electric-heat-thermostat-with-gold-baseboard,T498A1778,Line Voltage Thermostats,Resideo T498A1778/U Electric Heat Thermostat with Gold Baseboard,342,"<p>The Electric Heat Thermostat with Gold Baseboard by Resideo is part of our line voltage thermostats selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> T498A1778/U</li>
<li>
<strong>Category:</strong> Line Voltage Thermostats</li>
<li>
<strong>Shipping Weight:</strong> 0.5 lb</li>
</ul>"
high-capacity-thermostatic-radiator-actuator,T104A1040,Thermostatic Radiator Controls & Valves,Resideo T104A1040 High Capacity Thermostatic Radiator Actuator,379,"<p>The High Capacity Thermostatic Radiator Actuator by Resideo is part of our thermostatic radiator controls &amp; valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> T104A1040</li>
<li>
<strong>Category:</strong> Thermostatic Radiator Controls &amp; Valves</li>
<li>
<strong>Shipping Weight:</strong> 0.41 lb</li>
</ul>"
