Handle,Command,Body HTML
industrial-automatic-air-vent,UPDATE,"<p>The EA79A1004 is an automatic air vent from Resideo (Honeywell Home), industrial duty, 3/4 in connection.</p><p>An automatic air vent does one job without being asked: it sits at a high point, and when air collects under it a float drops and lets the air out, then rises and reseals as water returns. It is what replaces walking the building with a bleed key every autumn.</p><p>Height is everything. A vent below the highest point of the loop vents nothing, because the air is not where the vent is. Put it at the actual top — the crown of the main, the top of the riser, the high side of the air separator.</p><p>Industrial duty here means the higher ratings, and the tapped connection lets it sit directly on a main rather than needing a purpose-built tapping.</p><p>Rated to 250 F maximum and 150 psi.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> EA79A1004</li><li><strong>Type:</strong> Automatic air vent</li><li><strong>Connection:</strong> 3/4 in male NPT pipe thread with 1/2 in female NPT pipe thread</li><li><strong>Connection size:</strong> 3/4 in</li><li><strong>Maximum temperature:</strong> 250 F</li><li><strong>Maximum pressure:</strong> 150 psi</li><li><strong>Dimensions:</strong> 5 in long x 1 7/8 in diameter</li><li><strong>Category:</strong> Air Vents</li></ul>"
maxivent-air-vent-for-heating-and-cooling-systems,UPDATE,"<p>The FV147A is an automatic air vent from Resideo (Honeywell Home), 1/4 in connection.</p><p>An automatic air vent does one job without being asked: it sits at a high point, and when air collects under it a float drops and lets the air out, then rises and reseals as water returns. It is what replaces walking the building with a bleed key every autumn.</p><p>Height is everything. A vent below the highest point of the loop vents nothing, because the air is not where the vent is. Put it at the actual top — the crown of the main, the top of the riser, the high side of the air separator.</p><p>This one is small and light enough to go on a fitting that would not carry a full-size vent, which is what makes it the answer at the top of a riser or on a coil where there is no room for anything larger.</p><p>Rated to 240 F maximum and 150 psi.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> FV147A/U</li><li><strong>Type:</strong> Automatic air vent</li><li><strong>Connection:</strong> Male NPT</li><li><strong>Connection size:</strong> 1/4 in</li><li><strong>Material:</strong> Brass</li><li><strong>Maximum temperature:</strong> 240 F</li><li><strong>Maximum pressure:</strong> 150 psi</li><li><strong>Dimensions:</strong> 2 in high x 1 5/32 in diameter</li><li><strong>UPC:</strong> 085267825986</li><li><strong>Category:</strong> Air Vents</li></ul>"
1-1-4-inch-union-npt-threaded-adapter,UPDATE,"<p>The HS-NPT-103 is a union NPT threaded adapter from Resideo (Honeywell Home), 1-1/4 in.</p><p>This is the fitting that lets a hydraulic separator come back out of the pipe. A union joint breaks apart at the nut instead of at a soldered or threaded joint, so the separator can be removed for service without cutting pipe and without disturbing the runs either side of it.</p><p>Match the adapter to the separator body and to the pipe — this one is 1-1/4 in and is the threaded NPT version.</p><p>Used with: HYDROSEP-103-U.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> HS-NPT-103/U</li><li><strong>Type:</strong> Union NPT threaded adapter</li><li><strong>Pipe size:</strong> 1-1/4 in</li><li><strong>Used with:</strong> HYDROSEP-103-U</li><li><strong>UPC:</strong> 194159006362</li><li><strong>Category:</strong> Hydronic Accessories</li></ul>"
1-1-2-inch-union-npt-threaded-adapter,UPDATE,"<p>The HS-NPT-104 is a union NPT threaded adapter from Resideo (Honeywell Home), 1-1/2 in.</p><p>This is the fitting that lets a hydraulic separator come back out of the pipe. A union joint breaks apart at the nut instead of at a soldered or threaded joint, so the separator can be removed for service without cutting pipe and without disturbing the runs either side of it.</p><p>Match the adapter to the separator body and to the pipe — this one is 1-1/2 in and is the threaded NPT version.</p><p>Used with: HYDROSEP-104-U.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> HS-NPT-104/U</li><li><strong>Type:</strong> Union NPT threaded adapter</li><li><strong>Pipe size:</strong> 1-1/2 in</li><li><strong>Used with:</strong> HYDROSEP-104-U</li><li><strong>UPC:</strong> 194159006379</li><li><strong>Category:</strong> Hydronic Accessories</li></ul>"
2-inch-union-npt-threaded-adapter,UPDATE,"<p>The HS-NPT-105 is a union NPT threaded adapter from Resideo (Honeywell Home), 2 in.</p><p>This is the fitting that lets a hydraulic separator come back out of the pipe. A union joint breaks apart at the nut instead of at a soldered or threaded joint, so the separator can be removed for service without cutting pipe and without disturbing the runs either side of it.</p><p>Match the adapter to the separator body and to the pipe — this one is 2 in and is the threaded NPT version.</p><p>Used with: HYDROSEP-105-U.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> HS-NPT-105/U</li><li><strong>Type:</strong> Union NPT threaded adapter</li><li><strong>Pipe size:</strong> 2 in</li><li><strong>Used with:</strong> HYDROSEP-105-U</li><li><strong>UPC:</strong> 194159006386</li><li><strong>Category:</strong> Hydronic Accessories</li></ul>"
combination-boiler-feed-valve-with-sweat-and-threaded-connections,UPDATE,"<p>The NK300S-100 is a combination boiler feed valve from Resideo (Honeywell Home), 1/2 in, sweat and threaded connections.</p><p>Filling a boiler needs four things in the same line: a shutoff, a backflow preventer so system water can never reach the potable supply, a pressure reducing valve so the fill stops at system pressure instead of at street pressure, and a strainer. A combination valve is all of it in one body, which is fewer joints to make and fewer joints to leak.</p><p>The <strong>backflow preventer is the part that is not optional</strong>. Boiler water is treated water sitting against steel; the code separation between it and the drinking supply is the whole reason this assembly exists in this form.</p><p><strong>Fast fill</strong> means it can be opened wide to charge a dry system quickly and then returned to regulating, instead of taking an afternoon to fill through a reducing valve at its setpoint.</p><p>What is in the body: boiler fill shut off valve, double check backflow preventer with air vent and discharge connection, valve cartridge, integrated 200 micron strainer, a check valve, pressure reducing valve with valve insert, adjustment spring, and pressure gauge.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> NK300S-100</li><li><strong>Type:</strong> Combination boiler feed valve</li><li><strong>Pipe size:</strong> 1/2 in</li><li><strong>Connection:</strong> Includes sweat and threaded connections</li><li><strong>Valve type:</strong> Fast Fill</li><li><strong>Close-off pressure:</strong> 14.5 psi minimum (inlet to outlet)</li><li><strong>Maximum fluid temperature:</strong> 180 F</li><li><strong>Body material:</strong> Brass</li><li><strong>Maximum pressure:</strong> 150 psi</li><li><strong>Includes:</strong> Boiler fill shut off valve, double check backflow preventer with air vent and discharge connection, valve cartridge, integrated 200 micron strainer, a check valve, pressure reducing valve with valve insert, adjustment spring, and pressure gauge</li><li><strong>UPC:</strong> 085267561389</li><li><strong>Shipping weight:</strong> 3.96 lb</li><li><strong>Category:</strong> Boiler Fill Valves</li></ul>"
combination-boiler-feed-valve-with-union-press-fitting-connections,UPDATE,"<p>The NK300S-100UP is a combination boiler feed valve from Resideo (Honeywell Home), 1/2 in, union press connections.</p><p>Filling a boiler needs four things in the same line: a shutoff, a backflow preventer so system water can never reach the potable supply, a pressure reducing valve so the fill stops at system pressure instead of at street pressure, and a strainer. A combination valve is all of it in one body, which is fewer joints to make and fewer joints to leak.</p><p>The <strong>backflow preventer is the part that is not optional</strong>. Boiler water is treated water sitting against steel; the code separation between it and the drinking supply is the whole reason this assembly exists in this form.</p><p><strong>Fast fill</strong> means it can be opened wide to charge a dry system quickly and then returned to regulating, instead of taking an afternoon to fill through a reducing valve at its setpoint.</p><p>What is in the body: boiler fill shut off valve, double check backflow preventer with air vent and discharge connection, valve cartridge, integrated 200 micron strainer, a check valve, pressure reducing valve with valve insert, adjustment spring, and pressure gauge.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> NK300S-100UP</li><li><strong>Type:</strong> Combination boiler feed valve</li><li><strong>Pipe size:</strong> 1/2 in</li><li><strong>Connection:</strong> Includes union press fitting connections</li><li><strong>Valve type:</strong> Fast Fill</li><li><strong>Close-off pressure:</strong> 14.5 psi minimum (inlet to outlet)</li><li><strong>Maximum fluid temperature:</strong> 180 F</li><li><strong>Body material:</strong> Brass</li><li><strong>Maximum pressure:</strong> 150 psi</li><li><strong>Includes:</strong> Boiler fill shut off valve, double check backflow preventer with air vent and discharge connection, valve cartridge, integrated 200 micron strainer, a check valve, pressure reducing valve with valve insert, adjustment spring, and pressure gauge</li><li><strong>UPC:</strong> 085267345163</li><li><strong>Category:</strong> Boiler Fill Valves</li></ul>"
pressuretrol-controller-with-subtractive-1-to-5-psi-differential-pressure,UPDATE,"<p>The PA404A1025 is a Pressuretrol pressure controller from Resideo (Honeywell Home), 3 psi to 15 psi, subtractive differential.</p><p>On a steam boiler the pressure control is what decides when the burner stops. Steam heating works at a couple of psi; a boiler allowed to climb past that wastes fuel, bangs the mains and shortens the life of everything downstream of it. The Pressuretrol senses boiler pressure on a stainless diaphragm and breaks the burner circuit at the cut-out setting.</p><p><strong>Subtractive differential.</strong> The cut-in is the setting, and the burner comes back on at the setting <em>minus</em> the differential. Set the main scale and the differential subtracts from it downward.</p><p>Getting this backwards is the classic mis-set: the same numbers on the two versions do not produce the same cycle. Check which one is on the boiler before copying settings from the old control.</p><p>This is an operating control, not a safety limit. A steam boiler still needs its own high-pressure limit and its relief valve; the Pressuretrol is what keeps it from getting there.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> PA404A1025/U</li><li><strong>Type:</strong> Pressuretrol pressure controller</li><li><strong>Operating range:</strong> 3 psi to 15 psi</li><li><strong>Differential:</strong> Subtractive, 1 to 5 psi Adj.</li><li><strong>Sensor:</strong> Stainless Steel diaphragm</li><li><strong>Electrical:</strong> 0.25 A @ 0.25 to 12 Vdc; 120 Vac, Resistive: 8.3A; 240 Vac, Resistive: 8.3A; 277 Vac, Resistive 7.2A</li><li><strong>Maximum pressure:</strong> 20 psi</li><li><strong>Dimensions:</strong> 4 15/32 in high x 3 3/8 in wide x 2 1/4 in deep</li><li><strong>Approvals:</strong> UL Listed: File no. MP466, Guide no. MBPR, CSA Listed: File no. LR1620</li><li><strong>UPC:</strong> 085267064286</li><li><strong>Category:</strong> Steam Controls</li></ul>"
pressuretrol-controller-with-additive-1-to-5-psi-differential-pressure,UPDATE,"<p>The PA404A1033 is a Pressuretrol pressure controller from Resideo (Honeywell Home), 0.5 psi to 9.0 psi, additive differential.</p><p>On a steam boiler the pressure control is what decides when the burner stops. Steam heating works at a couple of psi; a boiler allowed to climb past that wastes fuel, bangs the mains and shortens the life of everything downstream of it. The Pressuretrol senses boiler pressure on a stainless diaphragm and breaks the burner circuit at the cut-out setting.</p><p><strong>Additive differential.</strong> The cut-out is the setting <em>plus</em> the differential. Set the main scale for cut-in and the burner runs up to setting plus differential before it stops.</p><p>Getting this backwards is the classic mis-set: the same numbers on the two versions do not produce the same cycle. Check which one is on the boiler before copying settings from the old control.</p><p>This is an operating control, not a safety limit. A steam boiler still needs its own high-pressure limit and its relief valve; the Pressuretrol is what keeps it from getting there.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> PA404A1033/U</li><li><strong>Type:</strong> Pressuretrol pressure controller</li><li><strong>Operating range:</strong> 0.5 psi to 9.0 psi</li><li><strong>Differential:</strong> Additive, 1 to 5 psi Adj.</li><li><strong>Sensor:</strong> Stainless Steel diaphragm</li><li><strong>Electrical:</strong> 0.25 A @ 0.25 to 12 Vdc; 120 Vac, Resistive: 8.3A; 240 Vac, Resistive: 8.3A; 277 Vac, Resistive 7.2A</li><li><strong>Maximum pressure:</strong> 20 psi</li><li><strong>Dimensions:</strong> 4 15/32 in high x 3 3/8 in wide x 2 1/4 in deep</li><li><strong>Approvals:</strong> UL Listed: File no. MP466, Guide no. MBPR, CSA Listed: File no. LR1620</li><li><strong>UPC:</strong> 085267990134</li><li><strong>Category:</strong> Steam Controls</li></ul>"
supervent-replacement-vent-top-float-assembly,UPDATE,"<p>The PV-001RP is a replacement vent top for the SuperVent air eliminator from Resideo (Honeywell Home).</p><p>The vent top is the part that wears. The float and its seat spend their life wet, and when they finally stop sealing the symptom is a separator that weeps or one that stops venting — not a failure of the body, which is bronze and outlives several tops.</p><p>Replacing the top means the body stays in the pipe. No cutting, no re-soldering, no draining beyond what it takes to get to the vent.</p><p>Universal fit across the SuperVent range, so it is the same part whatever size body is in the loop.</p><ul><li><strong>Brand:</strong> Resideo (Honeywell Home)</li><li><strong>Manufacturer Part #:</strong> PV-001RP/U</li><li><strong>Type:</strong> Replacement vent top</li><li><strong>Fit:</strong> Universal</li><li><strong>UPC:</strong> 085267827836</li><li><strong>Category:</strong> Air Separators</li></ul>"
