handle,modelo,tipo,title,chars_antes,descricao_anterior
0-011-in-orifice-for-lp-stamped-bbr11,390686-36,Gas Ignition Components,"Resideo 390686-36/U 0.011 in orifice for LP, stamped BBR11",328,"<p>The 0.011 in orifice for LP, stamped BBR11 by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 390686-36/U</li>
<li>
<strong>UPC:</strong> 085267028561</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
0-018-in-orifice-for-natural-gas-stamped-bcr18,390686-4,Gas Ignition Components,"Resideo 390686-4/U 0.018 in orifice for Natural Gas, stamped BCR18",336,"<p>The 0.018 in orifice for Natural Gas, stamped BCR18 by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 390686-4/U</li>
<li>
<strong>UPC:</strong> 085267028622</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
1-piece-glowfly-multisystem-120-vac-hot-surface-igniter,Q3200U1004,Gas Ignition Components,Resideo Q3200U1004/U 1 Piece GLOWFLY® Multisystem 120 VAC Hot Surface Igniter,347,"<p>The 1 Piece GLOWFLY® Multisystem 120 VAC Hot Surface Igniter by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> Q3200U1004/U</li>
<li>
<strong>UPC:</strong> 085267465199</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
150-kbtuh-intermittent-pilot-retrofit-kit,Y8610U4001,Gas Ignition Components,Resideo Y8610U4001/U 150 kBtuh Intermittent Pilot Retrofit Kit,332,"<p>The 150 kBtuh Intermittent Pilot Retrofit Kit by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> Y8610U4001/U</li>
<li>
<strong>UPC:</strong> 085267313445</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
24-inch-igniter-flame-rod-assembly,Q3400A1016,Gas Ignition Components,Resideo Q3400A1016/U 24 inch Igniter Flame Rod Assembly,325,"<p>The 24 inch Igniter Flame Rod Assembly by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> Q3400A1016/U</li>
<li>
<strong>UPC:</strong> 085267780360</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
24-vac-dual-slow-opening-gas-valve-with-step-opening-single-stage,VR8304P4504,Gas Valves,"Resideo VR8304P4504/U 24 Vac Dual Slow Opening Gas Valve with Step Opening Single Stage,",332,"<p>The 24 Vac Dual Slow Opening Gas Valve with Step Opening Single Stage, by Resideo is part of our gas valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> VR8304P4504/U</li>
<li>
<strong>UPC:</strong> 085267114912</li>
<li>
<strong>Category:</strong> Gas Valves</li>
</ul>"
3-4-in-x-3-4-in-universal-24-vac-standard-opening-ignition-gas-valve,VR8345Q4563,Gas Valves,Resideo VR8345Q4563/U 3/4 in x 3/4 in Universal 24 Vac Standard Opening Ignition Gas Valve,334,"<p>The 3/4 in x 3/4 in Universal 24 Vac Standard Opening Ignition Gas Valve by Resideo is part of our gas valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> VR8345Q4563/U</li>
<li>
<strong>UPC:</strong> 085267797306</li>
<li>
<strong>Category:</strong> Gas Valves</li>
</ul>"
30-in-high-temperature-igniter-flame-rod-assembly,Q3400A1032,Gas Ignition Components,"Resideo Q3400A1032/U 30 in, High Temperature Igniter Flame Rod Assembly",296,"<p>The 30 in, High Temperature Igniter Flame Rod Assembly by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> Q3400A1032/U</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
30-in-igniter-flame-rod-assembly-for-smartvalve-pilots,Q3400A1024,Gas Ignition Components,Resideo Q3400A1024/U 30 in Igniter Flame Rod Assembly for SmartValve Pilots,351,"<p>The 30 in Igniter Flame Rod Assembly for SmartValve Pilots by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> Q3400A1024/U</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
<li>
<strong>Shipping Weight:</strong> 0.2 lb</li>
</ul>"
30-inch-ignition-cable-assembly-with-a-straight-boot,394801-30,Gas Ignition Components,Resideo 394801-30/U 30 inch Ignition cable assembly with a straight boot,342,"<p>The 30 inch Ignition cable assembly with a straight boot by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 394801-30/U</li>
<li>
<strong>UPC:</strong> 085267030519</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
36-inch-ignition-cable-assembly-with-a-straight-boot,392125-2,Gas Ignition Components,Resideo 392125-2/U 36 inch Ignition cable assembly with a straight boot,341,"<p>The 36 inch Ignition cable assembly with a straight boot by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 392125-2/U</li>
<li>
<strong>UPC:</strong> 085267029117</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
combination-intermittent-pilot-burner-and-ignitor-with-front-tip,Q345A1305,Gas Ignition Components,Resideo Q345A1305/U Combination intermittent pilot burner and ignitor with front tip,354,"<p>The Combination intermittent pilot burner and ignitor with front tip by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> Q345A1305/U</li>
<li>
<strong>UPC:</strong> 085267067850</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
combination-intermittent-pilot-burner-and-ignitor-with-left-tip,Q345A1313,Gas Ignition Components,Resideo Q345A1313/U Combination intermittent pilot burner and ignitor with left tip,353,"<p>The Combination intermittent pilot burner and ignitor with left tip by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> Q345A1313/U</li>
<li>
<strong>UPC:</strong> 085267067867</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
combination-intermittent-pilot-burner-and-ignitor-with-right-tip,Q345A1321,Gas Ignition Components,Resideo Q345A1321/U Combination Intermittent Pilot Burner and Ignitor with right tip,354,"<p>The Combination Intermittent Pilot Burner and Ignitor with right tip by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> Q345A1321/U</li>
<li>
<strong>UPC:</strong> 085267067874</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
compression-fitting-for-1-4-in-od-pilot-tubing-0-78-in-total-overall-length,386449-1,Gas Ignition Components,"Resideo 386449-1/U Compression Fitting for 1/4 in OD Pilot Tubing, 0.78 in total overall length",365,"<p>The Compression Fitting for 1/4 in OD Pilot Tubing, 0.78 in total overall length by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 386449-1/U</li>
<li>
<strong>UPC:</strong> 085267796989</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
compression-fitting-for-1-4-in-od-pilot-tubing-1-15-in-total-overall-length,386449-4,Gas Ignition Components,"Resideo 386449-4/U Compression Fitting for 1/4 in OD Pilot Tubing, 1.15 in total overall length",365,"<p>The Compression Fitting for 1/4 in OD Pilot Tubing, 1.15 in total overall length by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 386449-4/U</li>
<li>
<strong>UPC:</strong> 085267027847</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
compression-fitting-for-1-8-in-od-pilot-tubing-0-78-in-total-overall-length,392449-1,Gas Ignition Components,"Resideo 392449-1/U Compression Fitting for 1/8 in OD Pilot Tubing, 0.78 in total overall length",365,"<p>The Compression Fitting for 1/8 in OD Pilot Tubing, 0.78 in total overall length by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 392449-1/U</li>
<li>
<strong>UPC:</strong> 085267029469</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
direct-spark-ignition-control-two-rod-with-21-second-trial-and-lockout-time,S87C1030,Gas Ignition Components,"Resideo S87C1030/U Direct Spark Ignition Control, Two Rod, with 21 second trial and lockout time",366,"<p>The Direct Spark Ignition Control, Two Rod, with 21 second trial and lockout time by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> S87C1030/U</li>
<li>
<strong>UPC:</strong> 085267085250</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
direct-spark-ignition-hot-surface-ignition-or-intermittent-pilot-ignition-gas-valve,VR8345M4302,Gas Valves,"Resideo VR8345M4302/U Direct spark ignition, hot surface ignition, or intermittent pilot ignition Gas Valve",400,"<p>The Direct spark ignition, hot surface ignition, or intermittent pilot ignition Gas Valve by Resideo is part of our gas valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> VR8345M4302/U</li>
<li>
<strong>UPC:</strong> 085267780117</li>
<li>
<strong>Category:</strong> Gas Valves</li>
<li>
<strong>Shipping Weight:</strong> 2 lb</li>
</ul>"
dual-direct-ignition-intermittent-pilot-gas-valve,VR8345H4555,Gas Valves,Resideo VR8345H4555/U Dual Direct Ignition/Intermittent Pilot Gas Valve,366,"<p>The Dual Direct Ignition/Intermittent Pilot Gas Valve by Resideo is part of our gas valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> VR8345H4555/U</li>
<li>
<strong>UPC:</strong> 085267797313</li>
<li>
<strong>Category:</strong> Gas Valves</li>
<li>
<strong>Shipping Weight:</strong> 1.8 lb</li>
</ul>"
fast-fast-opening-smartvalve-intermittent-hot-surface-pilot,SV9501M8129,Gas Valves,Resideo SV9501M8129/U Fast-Fast Opening SmartValve Intermittent Hot Surface Pilot,325,"<p>The Fast-Fast Opening SmartValve Intermittent Hot Surface Pilot by Resideo is part of our gas valves selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> SV9501M8129/U</li>
<li>
<strong>UPC:</strong> 085267791083</li>
<li>
<strong>Category:</strong> Gas Valves</li>
</ul>"
flame-sensor-with-6-37-in-rod-height,Q354A1018,Gas Ignition Components,Resideo Q354A1018/U Flame sensor with 6.37 in rod height,326,"<p>The Flame sensor with 6.37 in rod height by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> Q354A1018/U</li>
<li>
<strong>UPC:</strong> 085267068932</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
ignitor-sensor-assembly-used-with-y8610-kits,392431,Gas Ignition Components,Resideo 392431/U Ignitor-Sensor Assembly used with Y8610 Kits,331,"<p>The Ignitor-Sensor Assembly used with Y8610 Kits by Resideo is part of our gas ignition components selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> 392431/U</li>
<li>
<strong>UPC:</strong> 085267796927</li>
<li>
<strong>Category:</strong> Gas Ignition Components</li>
</ul>"
