sku,vendor,ptype,price,lb,usd_lb,teto_lb,handle,variant_id,product_id
MILW-2473-20,Milwaukee Tools,Press Tools and Kits,2784.38,11.1,250.8,93.83,m12-force-logic-press-tool,44350913806439,7715534864487
ELKA-LZS8WSLP,Elkay,Bottle Fillers & Fountains,2777.72,2.0,1388.9,93.61,elkay-enhanced-ezh2o-bottle-filling-station-single-ada-cooler-filtered-refrigerated-light-gray,44350692032615,7715410411623
MILW-48-21-8070,Milwaukee Tools,PACKOUT,2767.92,5.5,503.3,93.28,packout-rack-kit,44350921244775,7715542237287
GVLF-A7061SS-400.300-304,Gruvlok,Gruvlok Fittings,2760.4,8.6,321.0,93.03,4-x-3-tee-304-stainless-steel-gr-x-gr-x-gr,44350752227431,7715450683495
BOSC-BMS500-AAS024-1CSXRD,Bosch,Outdoor Units (Compressor/Condenser),2742.33,7.0,391.8,92.42,2-ton-ductless-mini-split-single-zone-outdoor-heat-pump-regular-performance-r454b-12-000-btu-r454b-208-230v,44350355275879,7715252437095
HGRO-26548001,Hansgrohe,Exposed Shower Sets,2731.5,1.0,2731.5,92.05,hansgrohe-showerpipe-280-with-select-shower-controls-1-75-gpm-in-chrome,44350763925607,7715456286823
IBCT-P-429,IBC,IBC Parts,2699.18,2.19,1232.5,90.96,parts-kit-for-sl-residential-vx-series,44350820450407,7715477782631
GVLF-AE7721-3-300,Gruvlok,Gruvlok Fittings,2672.43,2.0,1336.2,90.06,3-grvd-bfv-e-grade-disc-epoxy-coated,44350753570919,7715451830375
MLWV-CL223E-D6,Milwaukee Valve,Butterfly Valves,2661.66,3.0,887.2,89.7,6-lug-pattern-cast-iron-butterfly-valve-200-psi-epdm-seat-bronze-disc,44350953029735,7715565928551
GVLF-A7061SS-400.250-304,Gruvlok,Gruvlok Fittings,2633.94,5.29,497.9,88.76,4-x-2-1-2-tee-304-stainless-steel-gr-x-gr-x-gr,44350752194663,7715450650727
MLWV-1406-600,Milwaukee Valve,Check Valves,2633.85,1.33,1980.3,88.76,6-wafer-cast-iron-check-valve-class-125-stainless-steel-seat-stainless-steel-disc,44350948933735,7715562586215
