Handle,Command,Body HTML
aquatrol-zoning-panel-for-4-zone-2-wire-valves-24-vac-used-for-hydronic-zoning-systems,UPDATE,"<p>The Aquatrol Zoning Panel, for 4 Zone 2-wire valves (24 Vac), used for Hydronic Zoning Systems by Resideo is part of our switching relays selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AQ25742B/U</li>
<li>
<strong>Category:</strong> Switching Relays</li>
</ul>"
aquatrol-zoning-control-for-4-zones-of-4-wire-valves-with-end-switches-24-vac-used-for-hydronic-zoning-systems,UPDATE,"<p>The Aquatrol Zoning Control, for 4 Zones of 4-wire valves with end switches (24 Vac), used for Hydronic Zoning Systems by Resideo is part of our switching relays selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AQ25744B/U</li>
<li>
<strong>Category:</strong> Switching Relays</li>
<li>
<strong>Shipping Weight:</strong> 4.6 lb</li>
</ul>"
foot-mounted-120-vac-transformer-with-9-in-leadwires-and-plastic-end-caps,UPDATE,"<p>The Foot mounted 120 Vac Transformer with 9 in leadwires and plastic end caps by Resideo is part of our transformers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AT140B1206/U</li>
<li>
<strong>UPC:</strong> 085267035170</li>
<li>
<strong>Category:</strong> Transformers</li>
</ul>"
foot-mounted-120-208-240-vac-transformer-with-9-in-leadwires-and-plastic-end-caps,UPDATE,"<p>The Foot mounted 120/208/240 Vac Transformer with 9 in leadwires and plastic end caps by Resideo is part of our transformers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AT140B1214/U</li>
<li>
<strong>UPC:</strong> 085267035187</li>
<li>
<strong>Category:</strong> Transformers</li>
</ul>"
foot-mounted-plate-mounted-clamp-mounted-or-panel-mounted-120-208-240-vac-transformer-with-9-in-leadwires-and-metal-end-bells,UPDATE,"<p>The Foot mounted, plate mounted, clamp mounted or panel mounted 120/208/240 Vac Transformer with 9 in leadwires and metal end bells by Resideo is part of our transformers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AT150A1007/U</li>
<li>
<strong>Category:</strong> Transformers</li>
<li>
<strong>Shipping Weight:</strong> 2.3 lb</li>
</ul>"
foot-mounted-277-vac-transformer-with-9-in-leadwires-and-plastic-end-caps,UPDATE,"<p>The Foot mounted 277 Vac Transformer with 9 in leadwires and plastic end caps by Resideo is part of our transformers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AT150B1252/U</li>
<li>
<strong>UPC:</strong> 085267150255</li>
<li>
<strong>Category:</strong> Transformers</li>
</ul>"
50va-multi-mount-transformer,UPDATE,"<p>The 50VA Multi Mount Transformer by Resideo is part of our transformers selection, in stock and ready to ship from The House Supplier.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AT150F1022/U</li>
<li>
<strong>UPC:</strong> 085267151115</li>
<li>
<strong>Category:</strong> Transformers</li>
<li>
<strong>Availability:</strong> In stock</li>
</ul>"
plate-or-panel-mounted-208-277-480-v-ac-transformer-with-9-in-leadwires,UPDATE,"<p>The Plate or panel mounted 208/277/480 V AC Transformer with 9 in leadwires by Resideo is part of our transformers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AT150F1030/U</li>
<li>
<strong>UPC:</strong> 085267151122</li>
<li>
<strong>Category:</strong> Transformers</li>
</ul>"
general-purpose-transformer-with-foot-mounting,UPDATE,"<p>The General Purpose Transformer with Foot Mounting by Resideo is part of our transformers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AT175A1008/U</li>
<li>
<strong>Category:</strong> Transformers</li>
<li>
<strong>Shipping Weight:</strong> 2.8 lb</li>
</ul>"
general-purpose-transformer-with-manual-reset,UPDATE,"<p>The General Purpose Transformer with Manual Reset by Resideo is part of our transformers selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> AT175F1023/U</li>
<li>
<strong>Category:</strong> Transformers</li>
<li>
<strong>Shipping Weight:</strong> 2.8 lb</li>
</ul>"
