Handle,Command,Body HTML
industrial-automatic-air-vent,UPDATE,"<p>The Industrial Automatic Air Vent by Resideo is part of our air vents selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> EA79A1004</li>
<li>
<strong>Category:</strong> Air Vents</li>
</ul>"
maxivent-air-vent-for-heating-and-cooling-systems,UPDATE,"<p>The MaxiVent™ Air Vent for Heating and Cooling Systems by Resideo is part of our air vents selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> FV147A/U</li>
<li>
<strong>UPC:</strong> 085267825986</li>
<li>
<strong>Category:</strong> Air Vents</li>
</ul>"
1-1-4-inch-union-npt-threaded-adapter,UPDATE,"<p>The 1-1/4 inch Union NPT Threaded Adapter by Resideo is part of our hydro separators selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> HS-NPT-103/U</li>
<li>
<strong>UPC:</strong> 194159006362</li>
<li>
<strong>Category:</strong> Hydro Separators</li>
</ul>"
1-1-2-inch-union-npt-threaded-adapter,UPDATE,"<p>The 1-1/2 inch Union NPT Threaded Adapter by Resideo is part of our hydro separators selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> HS-NPT-104/U</li>
<li>
<strong>UPC:</strong> 194159006379</li>
<li>
<strong>Category:</strong> Hydro Separators</li>
</ul>"
2-inch-union-npt-threaded-adapter,UPDATE,"<p>The 2 inch Union NPT Threaded Adapter by Resideo is part of our hydro separators selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> HS-NPT-105/U</li>
<li>
<strong>UPC:</strong> 194159006386</li>
<li>
<strong>Category:</strong> Hydro Separators</li>
</ul>"
combination-boiler-feed-valve-with-sweat-and-threaded-connections,UPDATE,"<p>The Combination Boiler Feed Valve with Sweat and Threaded Connections by Resideo is part of our system fill tanks &amp; autofills selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> NK300S-100</li>
<li>
<strong>UPC:</strong> 085267561389</li>
<li>
<strong>Category:</strong> System Fill Tanks &amp; Autofills</li>
<li>
<strong>Shipping Weight:</strong> 3.96 lb</li>
</ul>"
combination-boiler-feed-valve-with-union-press-fitting-connections,UPDATE,"<p>The Combination Boiler Feed Valve with union press fitting connections by Resideo is part of our system fill tanks &amp; autofills selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> NK300S-100UP</li>
<li>
<strong>UPC:</strong> 085267345163</li>
<li>
<strong>Category:</strong> System Fill Tanks &amp; Autofills</li>
</ul>"
pressuretrol-controller-with-subtractive-1-to-5-psi-differential-pressure,UPDATE,"<p>The Pressuretrol controller with subtractive 1 to 5 psi differential pressure by Resideo is part of our system fill tanks &amp; autofills selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> PA404A1025/U</li>
<li>
<strong>UPC:</strong> 085267064286</li>
<li>
<strong>Category:</strong> System Fill Tanks &amp; Autofills</li>
</ul>"
pressuretrol-controller-with-additive-1-to-5-psi-differential-pressure,UPDATE,"<p>The Pressuretrol controller with additive 1 to 5 psi differential pressure by Resideo is part of our system fill tanks &amp; autofills selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> PA404A1033/U</li>
<li>
<strong>UPC:</strong> 085267990134</li>
<li>
<strong>Category:</strong> System Fill Tanks &amp; Autofills</li>
</ul>"
supervent-replacement-vent-top-float-assembly,UPDATE,"<p>The SuperVent Replacement Vent Top Float Assembly by Resideo is part of our air separators selection.</p><ul>
<li>
<strong>Brand:</strong> Resideo</li>
<li>
<strong>Manufacturer Part #:</strong> PV-001RP/U</li>
<li>
<strong>UPC:</strong> 085267827836</li>
<li>
<strong>Category:</strong> Air Separators</li>
</ul>"
